step	T	P	Q	Emptymeas	CalcC_atrazin_346301	Mstock	Mavail	Munavail	Fapplic	M_to_apply	T_sum	Fapplicgreen	M_green_to_apply
0	-0.97547689	0	0.25	NaN	0	0	0	0	0	0	0	0	0
1	-0.97547689	0	0.25	NaN	11.7932	0	0	0	0	0	0	0	0
2	-0.97547689	0	0.25	NaN	11.7932	0	0	0	0	0	0	0	0
3	-0.97547689	0	0.24	NaN	11.7932	0	0	0	0	0	0	0	0
4	-0.97547689	0	0.24	NaN	11.7932	0	0	0	0	0	0	0	0
5	-0.97547689	0	0.24	NaN	11.7932	0	0	0	0	0	0	0	0
6	-0.97547689	0	0.24	NaN	11.7932	0	0	0	0	0	0	0	0
7	-0.97547689	0	0.23	NaN	11.7932	0	0	0	0	0	0	0	0
8	-0.97547689	0	0.23	NaN	11.7932	0	0	0	0	0	0	0	0
9	-0.97547689	0	0.23	NaN	11.7932	0	0	0	0	0	0	0	0
10	-0.97547689	0	0.22	NaN	11.7932	0	0	0	0	0	0	0	0
11	-0.97547689	0	0.22	NaN	11.7932	0	0	0	0	0	0	0	0
12	-0.97547689	0	0.21	NaN	11.7932	0	0	0	0	0	0	0	0
13	-0.97547689	0	0.21	NaN	11.7932	0	0	0	0	0	0	0	0
14	-0.97547689	0	0.21	NaN	11.7932	0	0	0	0	0	0	0	0
15	-0.97547689	0	0.2	NaN	11.7932	0	0	0	0	0	0	0	0
16	-0.97547689	0	0.2	NaN	11.7932	0	0	0	0	0	0	0	0
17	-0.97547689	0	0.19	NaN	11.7932	0	0	0	0	0	0	0	0
18	-0.97547689	0	0.19	NaN	11.7932	0	0	0	0	0	0	0	0
19	-0.97547689	0	0.19	NaN	11.7932	0	0	0	0	0	0	0	0
20	-0.97547689	0	0.18	NaN	11.7932	0	0	0	0	0	0	0	0
21	-0.97547689	0	0.18	NaN	11.7932	0	0	0	0	0	0	0	0
22	-0.97547689	0	0.17	NaN	11.7932	0	0	0	0	0	0	0	0
23	-0.97547689	0	0.17	NaN	11.7932	0	0	0	0	0	0	0	0
24	0.0845230861	0	0.16	NaN	11.7932	0	0	0	0	0	0.0845230861	0	0
25	0.0845230861	0	0.16	NaN	11.7932	0	0	0	0	0	0.169046172	0	0
26	0.0845230861	0	0.16	NaN	11.7932	0	0	0	0	0	0.253569258	0	0
27	0.0845230861	0	0.15	NaN	11.7932	0	0	0	0	0	0.338092345	0	0
28	0.0845230861	0	0.15	NaN	11.7932	0	0	0	0	0	0.422615431	0	0
29	0.0845230861	0	0.14	NaN	11.7932	0	0	0	0	0	0.507138517	0	0
30	0.0845230861	0	0.14	NaN	11.7932	0	0	0	0	0	0.591661603	0	0
31	0.0845230861	0	0.14	NaN	11.7932	0	0	0	0	0	0.676184689	0	0
32	0.0845230861	0	0.13	NaN	11.7932	0	0	0	0	0	0.760707775	0	0
33	0.0845230861	0	0.13	NaN	11.7932	0	0	0	0	0	0.845230861	0	0
34	0.0845230861	0	0.13	NaN	11.7932	0	0	0	0	0	0.929753947	0	0
35	0.0845230861	0	0.12	NaN	11.7932	0	0	0	0	0	1.01427703	0	0
36	0.0845230861	0	0.12	NaN	11.7932	0	0	0	0	0	1.09880012	0	0
37	0.0845230861	0	0.12	NaN	11.7932	0	0	0	0	0	1.18332321	0	0
38	0.0845230861	0	0.12	NaN	11.7932	0	0	0	0	0	1.26784629	0	0
39	0.0845230861	0	0.11	NaN	11.7932	0	0	0	0	0	1.35236938	0	0
40	0.0845230861	0	0.11	NaN	11.7932	0	0	0	0	0	1.43689246	0	0
41	0.0845230861	0	0.11	NaN	11.7932	0	0	0	0	0	1.52141555	0	0
42	0.0845230861	0	0.11	NaN	11.7932	0	0	0	0	0	1.60593864	0	0
43	0.0845230861	0	0.11	NaN	11.7932	0	0	0	0	0	1.69046172	0	0
44	0.0845230861	0	0.1	NaN	11.7932	0	0	0	0	0	1.77498481	0	0
45	0.0845230861	0	0.1	NaN	11.7932	0	0	0	0	0	1.85950789	0	0
46	0.0845230861	0	0.1	NaN	11.7932	0	0	0	0	0	1.94403098	0	0
47	0.0845230861	0	0.1	NaN	11.7932	0	0	0	0	0	2.02855407	0	0
48	-5.1454768	0	0.1	NaN	11.7932	0	0	0	0	0.00766065045	0.753765141	0	0
49	-5.1454768	0	0.1	NaN	11.7932	0	0	0	0	0.0105071837	0.280080943	0	0
50	-5.1454768	0	0.09	NaN	11.7932	0	0	0	0	0.011564886	0.104071452	0	0
51	-5.1454768	0.2	0.09	NaN	11.7932	0	0	0	0	0.0119579028	0.03867055	0	0
52	-5.1454768	0	0.09	NaN	11.7932	0	0	0	0	0.0121039383	0.0143691644	0	0
53	-5.1454768	0	0.09	NaN	11.7932	0	0	0	0	0.0121581989	0.00533979245	0	0
54	-5.1454768	0	0.09	NaN	11.7932	0	0	0	0	0.0121783601	0.00198481905	0	0
55	-5.1454768	0	0.09	NaN	11.7932	0	0	0	0	0.0121858523	0.000738064806	0	0
56	-5.1454768	0	0.09	NaN	11.7932	0	0	0	0	0.0121886357	0.000274896283	0	0
57	-5.1454768	0	0.09	NaN	11.7932	0	0	0	0	0.0121896691	0.000102923306	0	0
58	-5.1454768	0	0.09	NaN	11.7932	0	0	0	0	0.0121900556	3.8611403e-005	0	0
59	-5.1454768	0	0.08	NaN	11.7932	0	0	0	0	0.0121901996	1.46521219e-005	0	0
60	-5.1454768	0.1	0.08	NaN	11.7932	0	0	0	0	0.0121902539	5.60871828e-006	0	0
61	-5.1454768	0	0.08	NaN	11.7932	0	0	0	0	0.0121902747	2.14697372e-006	0	0
62	-5.1454768	0	0.08	NaN	11.7932	0	0	0	0	0.0121902827	8.21844838e-007	0	0
63	-5.1454768	0	0.08	NaN	11.7932	0	0	0	0	0.0121902857	3.1459581e-007	0	0
64	-5.1454768	0	0.08	NaN	11.7932	0	0	0	0	0.0121902876	6.22931164e-009	0	0
65	-5.1454768	0	0.08	NaN	11.7932	0	0	0	0	0.0121902876	1.233466e-010	0	0
66	-5.1454768	0	0.08	NaN	11.7932	0	0	0	0	0.0121902876	2.44238602e-012	0	0
67	-5.1454768	0	0.08	NaN	11.7932	0	0	0	0	0.0121902876	4.83616856e-014	0	0
68	-5.1454768	0	0.08	NaN	11.7932	0	0	0	0	0.0121902876	9.57609737e-016	0	0
69	-5.1454768	0	0.08	NaN	11.7932	0	0	0	0	0.0121902876	1.89616304e-017	0	0
70	-5.1454768	0	0.08	NaN	11.7932	0	0	0	0	0.0121902876	1.87739103e-017	0	0
71	-5.1454768	0	0.08	NaN	11.7932	0	0	0	0	0.0121902876	1.85880485e-017	0	0
72	-6.24547677	0	0.08	NaN	11.7932	0	0	0	0	0.0121902876	1.84040269e-017	0	0
73	-6.24547677	0	0.08	NaN	11.7932	0	0	0	0	0.0121902876	1.8221827e-017	0	0
74	-6.24547677	0	0.08	NaN	11.7932	0	0	0	0	0.0121902876	1.80414309e-017	0	0
75	-6.24547677	0	0.08	NaN	11.7932	0	0	0	0	0.0121902876	1.78628207e-017	0	0
76	-6.24547677	0	0.08	NaN	11.7932	0	0	0	0	0.0121902876	1.76859788e-017	0	0
77	-6.24547677	0	0.08	NaN	11.7932	0	0	0	0	0.0121902876	1.75108876e-017	0	0
78	-6.24547677	0	0.07	NaN	11.7932	0	0	0	0	0.0121902876	1.73375298e-017	0	0
79	-6.24547677	0	0.07	NaN	11.7932	0	0	0	0	0.0121902876	1.71658883e-017	0	0
80	-6.24547677	0	0.07	NaN	11.7932	0	0	0	0	0.0121902876	1.6995946e-017	0	0
81	-6.24547677	0	0.07	NaN	11.7932	0	0	0	0	0.0121902876	1.68276861e-017	0	0
82	-6.24547677	0	0.07	NaN	11.7932	0	0	0	0	0.0121902876	1.6661092e-017	0	0
83	-6.24547677	0	0.07	NaN	11.7932	0	0	0	0	0.0121902876	1.64961472e-017	0	0
84	-6.24547677	0	0.07	NaN	11.7932	0	0	0	0	0.0121902876	1.63328354e-017	0	0
85	-6.24547677	0	0.07	NaN	11.7932	0	0	0	0	0.0121902876	1.61711403e-017	0	0
86	-6.24547677	0	0.07	NaN	11.7932	0	0	0	0	0.0121902876	1.6011046e-017	0	0
87	-6.24547677	0	0.07	NaN	11.7932	0	0	0	0	0.0121902876	1.58525367e-017	0	0
88	-6.24547677	0	0.07	NaN	11.7932	0	0	0	0	0.0121902876	1.56955965e-017	0	0
89	-6.24547677	0	0.07	NaN	11.7932	0	0	0	0	0.0121902876	1.55402101e-017	0	0
90	-6.24547677	0	0.07	NaN	11.7932	0	0	0	0	0.0121902876	1.53863621e-017	0	0
91	-6.24547677	0	0.07	NaN	11.7932	0	0	0	0	0.0121902876	1.52340371e-017	0	0
92	-6.24547677	0	0.07	NaN	11.7932	0	0	0	0	0.0121902876	1.50832201e-017	0	0
93	-6.24547677	0	0.07	NaN	11.7932	0	0	0	0	0.0121902876	1.49338962e-017	0	0
94	-6.24547677	0	0.07	NaN	11.7932	0	0	0	0	0.0121902876	1.47860507e-017	0	0
95	-6.24547677	0	0.07	NaN	11.7932	0	0	0	0	0.0121902876	1.46396688e-017	0	0
96	-5.51547679	0	0.07	NaN	11.7932	0	0	0	0	0.0121902876	1.4494736e-017	0	0
97	-5.51547679	0	0.07	NaN	11.7932	0	0	0	0	0.0121902876	1.43512382e-017	0	0
98	-5.51547679	0	0.07	NaN	11.7932	0	0	0	0	0.0121902876	1.42091609e-017	0	0
99	-5.51547679	0	0.07	NaN	11.7932	0	0	0	0	0.0121902876	1.40684902e-017	0	0
100	-5.51547679	0	0.07	NaN	11.7932	0	0	0	0	0.0121902876	1.39292121e-017	0	0
101	-5.51547679	0	0.07	NaN	11.7932	0	0	0	0	0.0121902876	1.37913129e-017	0	0
102	-5.51547679	0	0.07	NaN	11.7932	0	0	0	0	0.0121902876	1.36547789e-017	0	0
