step	T	P	Q	Emptymeas
0	-3.95464179073452	0.0	0.2	N/A
1	-3.95464179073452	0.16	0.19	N/A
2	-3.95464179073452	0.0	0.19	N/A
3	-3.95464179073452	0.0	0.18	N/A
4	-3.95464179073452	0.0	0.18	N/A
5	-3.95464179073452	0.0	0.18	N/A
6	-3.95464179073452	0.01	0.17	N/A
7	-3.95464179073452	0.0	0.17	N/A
8	-3.95464179073452	0.28	0.17	N/A
9	-3.95464179073452	0.0	0.16	N/A
10	-3.95464179073452	0.0	0.16	N/A
11	-3.95464179073452	0.0	0.16	N/A
12	-3.95464179073452	0.0	0.15	N/A
13	-3.95464179073452	0.0	0.15	N/A
14	-3.95464179073452	0.0	0.15	N/A
15	-3.95464179073452	0.0	0.15	N/A
16	-3.95464179073452	0.34	0.14	N/A
17	-3.95464179073452	0.43	0.14	N/A
18	-3.95464179073452	0.0	0.14	N/A
19	-3.95464179073452	0.0	0.13	N/A
20	-3.95464179073452	0.0	0.13	N/A
21	-3.95464179073452	0.0	0.13	N/A
22	-3.95464179073452	0.0	0.13	N/A
23	-3.95464179073452	0.0	0.12	N/A
24	-3.52464180034576	0.0	0.11	N/A
25	-3.52464180034576	0.0	0.1	N/A
26	-3.52464180034576	0.0	0.1	N/A
27	-3.52464180034576	0.02	0.1	N/A
28	-3.52464180034576	0.04	0.1	N/A
29	-3.52464180034576	0.0	0.1	N/A
30	-3.52464180034576	0.0	0.1	N/A
31	-3.52464180034576	0.0	0.09	N/A
32	-3.52464180034576	0.0	0.09	N/A
33	-3.52464180034576	0.0	0.09	N/A
34	-3.52464180034576	0.0	0.09	N/A
35	-3.52464180034576	0.0	0.09	N/A
36	-3.52464180034576	0.0	0.09	N/A
37	-3.52464180034576	0.0	0.09	N/A
38	-3.52464180034576	0.0	0.09	N/A
39	-3.52464180034576	0.0	0.09	N/A
40	-3.52464180034576	0.0	0.09	N/A
41	-3.52464180034576	0.0	0.08	N/A
42	-3.52464180034576	0.0	0.08	N/A
43	-3.52464180034576	0.0	0.08	N/A
44	-3.52464180034576	0.0	0.08	N/A
45	-3.52464180034576	0.0	0.08	N/A
46	-3.52464180034576	0.0	0.08	N/A
47	-3.52464180034576	0.0	0.08	N/A
48	-4.93464176882981	0.0	0.08	N/A
49	-4.93464176882981	0.0	0.08	N/A
50	-4.93464176882981	0.0	0.08	N/A
51	-4.93464176882981	0.04	0.08	N/A
52	-4.93464176882981	0.0	0.08	N/A
53	-4.93464176882981	0.0	0.08	N/A
54	-4.93464176882981	0.0	0.08	N/A
55	-4.93464176882981	0.0	0.08	N/A
56	-4.93464176882981	0.0	0.08	N/A
57	-4.93464176882981	0.0	0.07	N/A
58	-4.93464176882981	0.0	0.07	N/A
59	-4.93464176882981	0.0	0.08	N/A
60	-4.93464176882981	0.5	0.07	N/A
61	-4.93464176882981	0.0	0.07	N/A
62	-4.93464176882981	0.5	0.07	N/A
63	-4.93464176882981	0.43	0.07	N/A
64	-4.93464176882981	0.0	0.07	N/A
65	-4.93464176882981	0.0	0.07	N/A
66	-4.93464176882981	0.0	0.07	N/A
67	-4.93464176882981	0.0	0.07	N/A
68	-4.93464176882981	0.0	0.07	N/A
69	-4.93464176882981	0.1	0.07	N/A
70	-4.93464176882981	0.0	0.07	N/A
71	-4.93464176882981	0.0	0.07	N/A
72	-7.214641717867839	0.0	0.07	N/A
73	-7.214641717867839	0.0	0.07	N/A
74	-7.214641717867839	0.0	0.07	N/A
75	-7.214641717867839	0.0	0.07	N/A
76	-7.214641717867839	0.0	0.07	N/A
77	-7.214641717867839	0.0	0.07	N/A
78	-7.214641717867839	0.05	0.07	N/A
79	-7.214641717867839	0.04	0.07	N/A
80	-7.214641717867839	0.0	0.07	N/A
81	-7.214641717867839	0.0	0.07	N/A
82	-7.214641717867839	0.0	0.07	N/A
83	-7.214641717867839	0.0	0.07	N/A
84	-7.214641717867839	0.0	0.07	N/A
85	-7.214641717867839	0.0	0.07	N/A
86	-7.214641717867839	0.01	0.07	N/A
87	-7.214641717867839	0.0	0.07	N/A
88	-7.214641717867839	0.0	0.07	N/A
89	-7.214641717867839	0.0	0.07	N/A
90	-7.214641717867839	0.0	0.07	N/A
91	-7.214641717867839	0.0	0.07	N/A
92	-7.214641717867839	0.0	0.07	N/A
93	-7.214641717867839	0.0	0.07	N/A
94	-7.214641717867839	0.0	0.07	N/A
95	-7.214641717867839	0.0	0.07	N/A
96	-7.004641722561701	0.0	0.07	N/A
97	-7.004641722561701	0.0	0.07	N/A
98	-7.004641722561701	0.0	0.07	N/A
99	-7.004641722561701	0.0	0.06	N/A
100	-7.004641722561701	0.0	0.06	N/A
101	-7.004641722561701	0.0	0.06	N/A
102	-7.004641722561701	0.0	0.06	N/A
103	-7.004641722561701	0.0	0.06	N/A
104	-7.004641722561701	0.0	0.06	N/A
105	-7.004641722561701	0.0	0.06	N/A
106	-7.004641722561701	0.0	0.06	N/A
107	-7.004641722561701	0.0	0.06	N/A
108	-7.004641722561701	0.0	0.06	N/A
109	-7.004641722561701	0.0	0.06	N/A
110	-7.004641722561701	0.0	0.06	N/A
111	-7.004641722561701	0.0	0.06	N/A
112	-7.004641722561701	0.0	0.06	N/A
113	-7.004641722561701	0.0	0.06	N/A
114	-7.004641722561701	0.0	0.06	N/A
115	-7.004641722561701	0.0	0.06	N/A
116	-7.004641722561701	0.0	0.06	N/A
117	-7.004641722561701	0.0	0.06	N/A
118	-7.004641722561701	0.0	0.06	N/A
119	-7.004641722561701	0.0	0.06	N/A
120	-7.094641720550049	0.0	0.06	N/A
121	-7.094641720550049	0.0	0.06	N/A
122	-7.094641720550049	0.0	0.06	N/A
123	-7.094641720550049	0.0	0.06	N/A
124	-7.094641720550049	0.0	0.06	N/A
125	-7.094641720550049	0.0	0.06	N/A
126	-7.094641720550049	0.0	0.06	N/A
127	-7.094641720550049	0.0	0.06	N/A
128	-7.094641720550049	0.0	0.06	N/A
129	-7.094641720550049	0.0	0.06	N/A
130	-7.094641720550049	0.0	0.06	N/A
131	-7.094641720550049	0.0	0.06	N/A
132	-7.094641720550049	0.0	0.06	N/A
133	-7.094641720550049	0.0	0.06	N/A
134	-7.094641720550049	0.0	0.06	N/A
135	-7.094641720550049	0.0	0.06	N/A
136	-7.094641720550049	0.0	0.06	N/A
137	-7.094641720550049	0.0	0.06	N/A
138	-7.094641720550049	0.0	0.06	N/A
139	-7.094641720550049	0.0	0.06	N/A
140	-7.094641720550049	0.0	0.05	N/A
