step	T	P	Q	Emptymeas	CalcC_atrazin_332620	Mstock	Mavail	Munavail	Fapplic	M_to_apply	T_sum	Fapplicgreen	M_green_to_apply
0	-4.23214357	2.61	0.73	NaN	0	0	0	0	0	0	0	0	0
1	-4.23214357	0.07	0.73	NaN	11.7932	0	0	0	0	0	0	0	0
2	-4.23214357	0.3	0.73	NaN	11.7932	0	0	0	0	0	0	0	0
3	-4.23214357	1.2	0.73	NaN	11.7932	0	0	0	0	0	0	0	0
4	-4.23214357	0.02	0.73	NaN	11.7932	0	0	0	0	0	0	0	0
5	-4.23214357	0	0.73	NaN	11.7932	0	0	0	0	0	0	0	0
6	-4.23214357	0	0.73	NaN	11.7932	0	0	0	0	0	0	0	0
7	-4.23214357	0	0.73	NaN	11.7932	0	0	0	0	0	0	0	0
8	-4.23214357	0	0.73	NaN	11.7932	0	0	0	0	0	0	0	0
9	-4.23214357	0	0.73	NaN	11.7932	0	0	0	0	0	0	0	0
10	-4.23214357	0	0.73	NaN	11.7932	0	0	0	0	0	0	0	0
11	-4.23214357	0	0.71	NaN	11.7932	0	0	0	0	0	0	0	0
12	-4.23214357	0	0.68	NaN	11.7932	0	0	0	0	0	0	0	0
13	-4.23214357	0	0.66	NaN	11.7932	0	0	0	0	0	0	0	0
14	-4.23214357	0.02	0.63	NaN	11.7932	0	0	0	0	0	0	0	0
15	-4.23214357	0	0.62	NaN	11.7932	0	0	0	0	0	0	0	0
16	-4.23214357	0	0.62	NaN	11.7932	0	0	0	0	0	0	0	0
17	-4.23214357	0	0.61	NaN	11.7932	0	0	0	0	0	0	0	0
18	-4.23214357	0	0.58	NaN	11.7932	0	0	0	0	0	0	0	0
19	-4.23214357	0	0.58	NaN	11.7932	0	0	0	0	0	0	0	0
20	-4.23214357	0	0.58	NaN	11.7932	0	0	0	0	0	0	0	0
21	-4.23214357	0	0.56	NaN	11.7932	0	0	0	0	0	0	0	0
22	-4.23214357	0	0.56	NaN	11.7932	0	0	0	0	0	0	0	0
23	-4.23214357	0	0.54	NaN	11.7932	0	0	0	0	0	0	0	0
24	-3.33214359	0.1	0.58	NaN	11.7932	0	0	0	0	0	0	0	0
25	-3.33214359	0.1	0.55	NaN	11.7932	0	0	0	0	0	0	0	0
26	-3.33214359	0.68	0.55	NaN	11.7932	0	0	0	0	0	0	0	0
27	-3.33214359	0.48	0.54	NaN	11.7932	0	0	0	0	0	0	0	0
28	-3.33214359	0.06	0.53	NaN	11.7932	0	0	0	0	0	0	0	0
29	-3.33214359	0.02	0.53	NaN	11.7932	0	0	0	0	0	0	0	0
30	-3.33214359	0.1	0.53	NaN	11.7932	0	0	0	0	0	0	0	0
31	-3.33214359	0.06	0.51	NaN	11.7932	0	0	0	0	0	0	0	0
32	-3.33214359	0	0.51	NaN	11.7932	0	0	0	0	0	0	0	0
33	-3.33214359	0	0.51	NaN	11.7932	0	0	0	0	0	0	0	0
34	-3.33214359	0	0.51	NaN	11.7932	0	0	0	0	0	0	0	0
35	-3.33214359	0	0.5	NaN	11.7932	0	0	0	0	0	0	0	0
36	-3.33214359	0	0.47	NaN	11.7932	0	0	0	0	0	0	0	0
37	-3.33214359	0	0.46	NaN	11.7932	0	0	0	0	0	0	0	0
38	-3.33214359	0	0.46	NaN	11.7932	0	0	0	0	0	0	0	0
39	-3.33214359	0	0.46	NaN	11.7932	0	0	0	0	0	0	0	0
40	-3.33214359	0	0.45	NaN	11.7932	0	0	0	0	0	0	0	0
41	-3.33214359	0	0.44	NaN	11.7932	0	0	0	0	0	0	0	0
42	-3.33214359	0	0.44	NaN	11.7932	0	0	0	0	0	0	0	0
43	-3.33214359	0	0.44	NaN	11.7932	0	0	0	0	0	0	0	0
44	-3.33214359	0	0.42	NaN	11.7932	0	0	0	0	0	0	0	0
45	-3.33214359	0.03	0.42	NaN	11.7932	0	0	0	0	0	0	0	0
46	-3.33214359	0.01	0.42	NaN	11.7932	0	0	0	0	0	0	0	0
47	-3.33214359	0	0.4	NaN	11.7932	0	0	0	0	0	0	0	0
48	-7.3621435	0.03	0.4	NaN	11.7932	0	0	0	0	0.00766039553	0	0	0
49	-7.3621435	0	0.4	NaN	11.7932	0	0	0	0	0.010506163	0	0	0
50	-7.3621435	0	0.38	NaN	11.7932	0	0	0	0	0.0115636555	0	0	0
51	-7.3621435	0	0.38	NaN	11.7932	0	0	0	0	0.011956586	0	0	0
52	-7.3621435	0	0.38	NaN	11.7932	0	0	0	0	0.0121027127	0	0	0
53	-7.3621435	0.11	0.37	NaN	11.7932	0	0	0	0	0.0121574423	0	0	0
54	-7.3621435	0.01	0.37	NaN	11.7932	0	0	0	0	0.0121779643	0	0	0
55	-7.3621435	0	0.37	NaN	11.7932	0	0	0	0	0.0121856619	0	0	0
56	-7.3621435	0.19	0.37	NaN	11.7932	0	0	0	0	0.0121882363	0	0	0
57	-7.3621435	0.85	0.36	NaN	11.7932	0	0	0	0	0.0121895109	0	0	0
58	-7.3621435	0.69	0.35	NaN	11.7932	0	0	0	0	0.0121899944	0	0	0
59	-7.3621435	0.21	0.35	NaN	11.7932	0	0	0	0	0.0121901776	0	0	0
60	-7.3621435	0.59	0.35	NaN	11.7932	0	0	0	0	0.0121902466	0	0	0
61	-7.3621435	0	0.35	NaN	11.7932	0	0	0	0	0.0121902724	0	0	0
62	-7.3621435	0.13	0.35	NaN	11.7932	0	0	0	0	0.012190282	0	0	0
63	-7.3621435	0.32	0.35	NaN	11.7932	0	0	0	0	0.0121902856	0	0	0
64	-7.3621435	0	0.35	NaN	11.7932	0	0	0	0	0.0121902869	0	0	0
65	-7.3621435	0	0.35	NaN	11.7932	0	0	0	0	0.0121902873	0	0	0
66	-7.3621435	0	0.35	NaN	11.7932	0	0	0	0	0.0121902875	0	0	0
67	-7.3621435	0	0.35	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
68	-7.3621435	0	0.35	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
69	-7.3621435	0	0.34	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
70	-7.3621435	0	0.34	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
71	-7.3621435	0	0.34	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
72	-8.95214346	0	0.34	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
73	-8.95214346	0	0.32	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
74	-8.95214346	0	0.32	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
75	-8.95214346	0	0.32	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
76	-8.95214346	0	0.32	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
77	-8.95214346	0	0.32	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
78	-8.95214346	0	0.31	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
79	-8.95214346	0	0.31	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
80	-8.95214346	0	0.31	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
81	-8.95214346	0	0.31	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
82	-8.95214346	0	0.3	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
83	-8.95214346	0	0.3	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
84	-8.95214346	0	0.3	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
85	-8.95214346	0	0.3	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
86	-8.95214346	0	0.3	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
87	-8.95214346	0	0.3	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
88	-8.95214346	0	0.3	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
89	-8.95214346	0	0.29	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
90	-8.95214346	0	0.29	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
91	-8.95214346	0	0.29	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
92	-8.95214346	0	0.29	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
93	-8.95214346	0	0.29	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
94	-8.95214346	0	0.28	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
95	-8.95214346	0	0.27	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
96	-8.32214348	0	0.27	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
97	-8.32214348	0	0.27	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
98	-8.32214348	0	0.27	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
99	-8.32214348	0	0.27	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
100	-8.32214348	0	0.27	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
101	-8.32214348	0	0.26	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
102	-8.32214348	0	0.26	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
103	-8.32214348	0	0.26	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
104	-8.32214348	0	0.26	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
105	-8.32214348	0	0.26	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
106	-8.32214348	0	0.26	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
107	-8.32214348	0.01	0.26	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
108	-8.32214348	0	0.26	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
109	-8.32214348	0	0.26	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
110	-8.32214348	0	0.26	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
111	-8.32214348	0	0.26	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
112	-8.32214348	0	0.26	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
113	-8.32214348	0	0.26	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
114	-8.32214348	0	0.26	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
115	-8.32214348	0	0.26	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
116	-8.32214348	0	0.26	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
117	-8.32214348	0	0.25	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
118	-8.32214348	0	0.25	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
119	-8.32214348	0	0.25	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
120	-8.05214348	0	0.25	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
121	-8.05214348	0	0.25	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
122	-8.05214348	0	0.25	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
123	-8.05214348	0	0.25	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
124	-8.05214348	0	0.24	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
125	-8.05214348	0	0.24	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
126	-8.05214348	0	0.24	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
127	-8.05214348	0	0.24	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
128	-8.05214348	0	0.24	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
129	-8.05214348	0	0.24	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
130	-8.05214348	0	0.24	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
131	-8.05214348	0	0.23	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
132	-8.05214348	0	0.23	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
133	-8.05214348	0	0.23	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
134	-8.05214348	0	0.23	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
135	-8.05214348	0	0.23	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
136	-8.05214348	0	0.23	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
137	-8.05214348	0	0.23	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
138	-8.05214348	0	0.23	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
139	-8.05214348	0	0.22	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
140	-8.05214348	0	0.22	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
141	-8.05214348	0	0.22	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
142	-8.05214348	0	0.22	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
143	-8.05214348	0	0.22	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
144	-6.47214352	0	0.21	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
145	-6.47214352	0	0.21	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
146	-6.47214352	0	0.21	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
147	-6.47214352	0	0.21	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
148	-6.47214352	0	0.21	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
149	-6.47214352	0	0.21	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
150	-6.47214352	0.08	0.21	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
151	-6.47214352	0	0.2	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
152	-6.47214352	0	0.2	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
153	-6.47214352	0	0.2	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
154	-6.47214352	0	0.2	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
155	-6.47214352	0	0.2	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
156	-6.47214352	0.02	0.2	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
157	-6.47214352	0.12	0.2	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
158	-6.47214352	0.11	0.2	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
159	-6.47214352	0	0.2	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
160	-6.47214352	0	0.2	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
161	-6.47214352	0	0.2	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
162	-6.47214352	0	0.2	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
163	-6.47214352	0.01	0.19	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
164	-6.47214352	0	0.19	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
165	-6.47214352	0	0.19	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
166	-6.47214352	0	0.19	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
167	-6.47214352	0	0.19	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
168	-5.15214355	0	0.19	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
169	-5.15214355	0	0.19	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
170	-5.15214355	0	0.19	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
171	-5.15214355	0	0.19	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
172	-5.15214355	0	0.19	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
173	-5.15214355	0	0.19	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
174	-5.15214355	0	0.19	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
175	-5.15214355	0	0.19	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
176	-5.15214355	0	0.19	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
177	-5.15214355	0	0.19	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
178	-5.15214355	0	0.19	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
179	-5.15214355	0	0.19	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
180	-5.15214355	0	0.18	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
181	-5.15214355	0	0.18	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
182	-5.15214355	0	0.18	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
