step	T	P	Q	Emptymeas
0	-3.21727703104854	0.0	0.23	N/A
1	-3.21727703104854	0.0	0.23	N/A
2	-3.21727703104854	0.0	0.23	N/A
3	-3.21727703104854	0.0	0.23	N/A
4	-3.21727703104854	0.0	0.23	N/A
5	-3.21727703104854	0.0	0.23	N/A
6	-3.21727703104854	0.0	0.22	N/A
7	-3.21727703104854	0.0	0.22	N/A
8	-3.21727703104854	0.0	0.21	N/A
9	-3.21727703104854	0.0	0.21	N/A
10	-3.21727703104854	0.0	0.21	N/A
11	-3.21727703104854	0.0	0.2	N/A
12	-3.21727703104854	0.0	0.2	N/A
13	-3.21727703104854	0.0	0.2	N/A
14	-3.21727703104854	0.06	0.19	N/A
15	-3.21727703104854	0.44	0.18	N/A
16	-3.21727703104854	0.0	0.17	N/A
17	-3.21727703104854	0.0	0.18	N/A
18	-3.21727703104854	0.0	0.19	N/A
19	-3.21727703104854	0.0	0.19	N/A
20	-3.21727703104854	0.0	0.2	N/A
21	-3.21727703104854	0.0	0.19	N/A
22	-3.21727703104854	0.0	0.19	N/A
23	-3.21727703104854	0.0	0.19	N/A
24	-2.86727703887165	0.0	0.18	N/A
25	-2.86727703887165	0.25	0.18	N/A
26	-2.86727703887165	0.0	0.17	N/A
27	-2.86727703887165	0.02	0.17	N/A
28	-2.86727703887165	0.0	0.17	N/A
29	-2.86727703887165	0.0	0.17	N/A
30	-2.86727703887165	0.0	0.16	N/A
31	-2.86727703887165	0.0	0.16	N/A
32	-2.86727703887165	0.0	0.16	N/A
33	-2.86727703887165	0.0	0.15	N/A
34	-2.86727703887165	0.0	0.15	N/A
35	-2.86727703887165	0.0	0.15	N/A
36	-2.86727703887165	0.0	0.13	N/A
37	-2.86727703887165	0.0	0.13	N/A
38	-2.86727703887165	0.0	0.13	N/A
39	-2.86727703887165	0.0	0.13	N/A
40	-2.86727703887165	0.0	0.13	N/A
41	-2.86727703887165	0.0	0.13	N/A
42	-2.86727703887165	0.0	0.13	N/A
43	-2.86727703887165	0.0	0.13	N/A
44	-2.86727703887165	0.0	0.13	N/A
45	-2.86727703887165	0.0	0.13	N/A
46	-2.86727703887165	0.0	0.13	N/A
47	-2.86727703887165	0.0	0.13	N/A
48	-3.5872770227784003	0.0	0.12	N/A
49	-3.5872770227784003	0.0	0.12	N/A
50	-3.5872770227784003	0.0	0.12	N/A
51	-3.5872770227784003	0.0	0.12	N/A
52	-3.5872770227784003	0.0	0.12	N/A
53	-3.5872770227784003	0.0	0.12	N/A
54	-3.5872770227784003	0.0	0.11	N/A
55	-3.5872770227784003	0.0	0.11	N/A
56	-3.5872770227784003	0.0	0.11	N/A
57	-3.5872770227784003	0.0	0.11	N/A
58	-3.5872770227784003	0.0	0.11	N/A
59	-3.5872770227784003	0.0	0.11	N/A
60	-3.5872770227784003	0.84	0.11	N/A
61	-3.5872770227784003	0.03	0.11	N/A
62	-3.5872770227784003	0.04	0.11	N/A
63	-3.5872770227784003	0.02	0.11	N/A
64	-3.5872770227784003	0.0	0.11	N/A
65	-3.5872770227784003	0.0	0.11	N/A
66	-3.5872770227784003	0.0	0.11	N/A
67	-3.5872770227784003	0.0	0.11	N/A
68	-3.5872770227784003	0.0	0.11	N/A
69	-3.5872770227784003	0.0	0.11	N/A
70	-3.5872770227784003	0.0	0.11	N/A
71	-3.5872770227784003	0.0	0.11	N/A
72	-5.727276974945671	0.0	0.11	N/A
73	-5.727276974945671	0.0	0.11	N/A
74	-5.727276974945671	0.0	0.11	N/A
75	-5.727276974945671	0.03	0.1	N/A
76	-5.727276974945671	0.33	0.1	N/A
77	-5.727276974945671	0.05	0.1	N/A
78	-5.727276974945671	0.0	0.1	N/A
79	-5.727276974945671	0.0	0.1	N/A
80	-5.727276974945671	0.0	0.1	N/A
81	-5.727276974945671	0.0	0.1	N/A
82	-5.727276974945671	0.0	0.1	N/A
83	-5.727276974945671	0.0	0.1	N/A
84	-5.727276974945671	0.0	0.1	N/A
85	-5.727276974945671	0.0	0.1	N/A
86	-5.727276974945671	0.0	0.1	N/A
87	-5.727276974945671	0.01	0.1	N/A
88	-5.727276974945671	0.0	0.1	N/A
89	-5.727276974945671	0.0	0.1	N/A
90	-5.727276974945671	0.0	0.1	N/A
91	-5.727276974945671	0.0	0.09	N/A
92	-5.727276974945671	0.0	0.08	N/A
93	-5.727276974945671	0.0	0.09	N/A
94	-5.727276974945671	0.0	0.09	N/A
95	-5.727276974945671	0.0	0.1	N/A
96	-5.87727697159291	0.0	0.1	N/A
97	-5.87727697159291	0.0	0.1	N/A
98	-5.87727697159291	0.0	0.1	N/A
99	-5.87727697159291	0.0	0.1	N/A
100	-5.87727697159291	0.0	0.1	N/A
101	-5.87727697159291	0.0	0.1	N/A
102	-5.87727697159291	0.0	0.1	N/A
103	-5.87727697159291	0.0	0.1	N/A
104	-5.87727697159291	0.0	0.09	N/A
105	-5.87727697159291	0.0	0.09	N/A
106	-5.87727697159291	0.0	0.1	N/A
107	-5.87727697159291	0.0	0.09	N/A
108	-5.87727697159291	0.0	0.09	N/A
109	-5.87727697159291	0.0	0.09	N/A
110	-5.87727697159291	0.0	0.09	N/A
111	-5.87727697159291	0.0	0.09	N/A
112	-5.87727697159291	0.0	0.09	N/A
113	-5.87727697159291	0.0	0.09	N/A
114	-5.87727697159291	0.0	0.09	N/A
115	-5.87727697159291	0.0	0.09	N/A
116	-5.87727697159291	0.0	0.09	N/A
117	-5.87727697159291	0.0	0.09	N/A
118	-5.87727697159291	0.0	0.09	N/A
119	-5.87727697159291	0.0	0.09	N/A
120	-5.06727698969782	0.0	0.09	N/A
121	-5.06727698969782	0.0	0.09	N/A
122	-5.06727698969782	0.0	0.09	N/A
123	-5.06727698969782	0.0	0.09	N/A
124	-5.06727698969782	0.0	0.09	N/A
125	-5.06727698969782	0.0	0.09	N/A
126	-5.06727698969782	0.0	0.09	N/A
127	-5.06727698969782	0.0	0.09	N/A
128	-5.06727698969782	0.0	0.09	N/A
129	-5.06727698969782	0.0	0.09	N/A
130	-5.06727698969782	0.0	0.09	N/A
131	-5.06727698969782	0.0	0.09	N/A
132	-5.06727698969782	0.0	0.09	N/A
133	-5.06727698969782	0.01	0.09	N/A
134	-5.06727698969782	0.07	0.09	N/A
135	-5.06727698969782	0.0	0.09	N/A
136	-5.06727698969782	0.0	0.09	N/A
137	-5.06727698969782	0.0	0.09	N/A
138	-5.06727698969782	0.0	0.09	N/A
139	-5.06727698969782	0.0	0.09	N/A
140	-5.06727698969782	0.0	0.09	N/A
141	-5.06727698969782	0.0	0.09	N/A
142	-5.06727698969782	0.0	0.09	N/A
143	-5.06727698969782	0.0	0.09	N/A
144	-4.14727701026142	0.0	0.09	N/A
145	-4.14727701026142	0.0	0.09	N/A
146	-4.14727701026142	0.0	0.08	N/A
147	-4.14727701026142	0.0	0.08	N/A
148	-4.14727701026142	0.0	0.08	N/A
149	-4.14727701026142	0.0	0.08	N/A
150	-4.14727701026142	0.0	0.08	N/A
151	-4.14727701026142	0.0	0.08	N/A
152	-4.14727701026142	0.0	0.08	N/A
153	-4.14727701026142	0.0	0.08	N/A
154	-4.14727701026142	0.0	0.08	N/A
155	-4.14727701026142	0.0	0.08	N/A
156	-4.14727701026142	0.0	0.08	N/A
