step	T	P	Q	Emptymeas	CalcC_atrazin_332639	Mstock	Mavail	Munavail	Fapplic	M_to_apply	T_sum	Fapplicgreen	M_green_to_apply
0	-4.28195494	2.57	0.19	NaN	0	0	0	0	0	0	0	0	0
1	-4.28195494	0.37	0.19	NaN	11.7932	0	0	0	0	0	0	0	0
2	-4.28195494	0.04	0.19	NaN	11.7932	0	0	0	0	0	0	0	0
3	-4.28195494	0.92	0.19	NaN	11.7932	0	0	0	0	0	0	0	0
4	-4.28195494	0.03	0.19	NaN	11.7932	0	0	0	0	0	0	0	0
5	-4.28195494	0	0.19	NaN	11.7932	0	0	0	0	0	0	0	0
6	-4.28195494	0	0.19	NaN	11.7932	0	0	0	0	0	0	0	0
7	-4.28195494	0	0.19	NaN	11.7932	0	0	0	0	0	0	0	0
8	-4.28195494	0	0.19	NaN	11.7932	0	0	0	0	0	0	0	0
9	-4.28195494	0	0.19	NaN	11.7932	0	0	0	0	0	0	0	0
10	-4.28195494	0	0.19	NaN	11.7932	0	0	0	0	0	0	0	0
11	-4.28195494	0	0.19	NaN	11.7932	0	0	0	0	0	0	0	0
12	-4.28195494	0	0.19	NaN	11.7932	0	0	0	0	0	0	0	0
13	-4.28195494	0	0.19	NaN	11.7932	0	0	0	0	0	0	0	0
14	-4.28195494	0	0.19	NaN	11.7932	0	0	0	0	0	0	0	0
15	-4.28195494	0	0.19	NaN	11.7932	0	0	0	0	0	0	0	0
16	-4.28195494	0	0.19	NaN	11.7932	0	0	0	0	0	0	0	0
17	-4.28195494	0	0.19	NaN	11.7932	0	0	0	0	0	0	0	0
18	-4.28195494	0	0.18	NaN	11.7932	0	0	0	0	0	0	0	0
19	-4.28195494	0	0.18	NaN	11.7932	0	0	0	0	0	0	0	0
20	-4.28195494	0	0.18	NaN	11.7932	0	0	0	0	0	0	0	0
21	-4.28195494	0	0.18	NaN	11.7932	0	0	0	0	0	0	0	0
22	-4.28195494	0	0.18	NaN	11.7932	0	0	0	0	0	0	0	0
23	-4.28195494	0	0.18	NaN	11.7932	0	0	0	0	0	0	0	0
24	-3.38195496	0.1	0.15	NaN	11.7932	0	0	0	0	0	0	0	0
25	-3.38195496	0.01	0.15	NaN	11.7932	0	0	0	0	0	0	0	0
26	-3.38195496	0.53	0.15	NaN	11.7932	0	0	0	0	0	0	0	0
