step	T	P	Q	Emptymeas
0	-4.4338680567018205	0.0	0.09	N/A
1	-4.4338680567018205	0.0	0.09	N/A
2	-4.4338680567018205	0.0	0.09	N/A
3	-4.4338680567018205	0.0	0.08	N/A
4	-4.4338680567018205	0.0	0.08	N/A
5	-4.4338680567018205	0.0	0.08	N/A
6	-4.4338680567018205	0.0	0.08	N/A
7	-4.4338680567018205	0.0	0.08	N/A
8	-4.4338680567018205	0.0	0.08	N/A
9	-4.4338680567018205	0.0	0.08	N/A
10	-4.4338680567018205	0.0	0.08	N/A
11	-4.4338680567018205	0.0	0.07	N/A
12	-4.4338680567018205	0.0	0.07	N/A
13	-4.4338680567018205	0.0	0.07	N/A
14	-4.4338680567018205	0.0	0.07	N/A
15	-4.4338680567018205	0.0	0.07	N/A
16	-4.4338680567018205	0.0	0.08	N/A
17	-4.4338680567018205	0.0	0.08	N/A
18	-4.4338680567018205	0.0	0.08	N/A
19	-4.4338680567018205	0.21	0.08	N/A
20	-4.4338680567018205	0.0	0.08	N/A
21	-4.4338680567018205	0.0	0.08	N/A
22	-4.4338680567018205	0.0	0.08	N/A
23	-4.4338680567018205	0.12	0.08	N/A
24	-4.37386805804311	0.0	0.08	N/A
25	-4.37386805804311	0.0	0.08	N/A
26	-4.37386805804311	0.19	0.08	N/A
27	-4.37386805804311	0.26	0.07	N/A
28	-4.37386805804311	0.21	0.07	N/A
29	-4.37386805804311	0.0	0.07	N/A
30	-4.37386805804311	0.0	0.07	N/A
31	-4.37386805804311	0.0	0.07	N/A
32	-4.37386805804311	0.02	0.07	N/A
33	-4.37386805804311	0.6	0.07	N/A
34	-4.37386805804311	0.0	0.07	N/A
35	-4.37386805804311	0.0	0.07	N/A
36	-4.37386805804311	0.0	0.07	N/A
37	-4.37386805804311	0.0	0.07	N/A
38	-4.37386805804311	0.0	0.06	N/A
39	-4.37386805804311	0.0	0.06	N/A
40	-4.37386805804311	0.0	0.06	N/A
41	-4.37386805804311	0.0	0.06	N/A
42	-4.37386805804311	0.0	0.06	N/A
43	-4.37386805804311	0.0	0.06	N/A
44	-4.37386805804311	0.0	0.05	N/A
45	-4.37386805804311	0.0	0.05	N/A
46	-4.37386805804311	0.0	0.05	N/A
47	-4.37386805804311	0.0	0.05	N/A
48	-4.523868054689889	0.0	0.05	N/A
49	-4.523868054689889	0.0	0.05	N/A
50	-4.523868054689889	0.0	0.05	N/A
51	-4.523868054689889	0.0	0.05	N/A
52	-4.523868054689889	0.1	0.05	N/A
53	-4.523868054689889	0.13	0.05	N/A
54	-4.523868054689889	0.2	0.05	N/A
55	-4.523868054689889	0.0	0.05	N/A
56	-4.523868054689889	0.0	0.05	N/A
57	-4.523868054689889	0.0	0.05	N/A
58	-4.523868054689889	0.0	0.05	N/A
59	-4.523868054689889	0.0	0.05	N/A
60	-4.523868054689889	0.0	0.05	N/A
61	-4.523868054689889	0.03	0.05	N/A
62	-4.523868054689889	0.0	0.05	N/A
63	-4.523868054689889	0.0	0.05	N/A
64	-4.523868054689889	0.0	0.05	N/A
65	-4.523868054689889	0.0	0.05	N/A
66	-4.523868054689889	0.0	0.05	N/A
67	-4.523868054689889	0.18	0.05	N/A
68	-4.523868054689889	0.01	0.05	N/A
69	-4.523868054689889	0.0	0.05	N/A
70	-4.523868054689889	0.0	0.05	N/A
71	-4.523868054689889	0.0	0.05	N/A
72	-6.6238680077449406	0.0	0.05	N/A
73	-6.6238680077449406	0.0	0.05	N/A
74	-6.6238680077449406	0.0	0.05	N/A
75	-6.6238680077449406	0.15	0.05	N/A
76	-6.6238680077449406	0.01	0.05	N/A
77	-6.6238680077449406	0.0	0.05	N/A
78	-6.6238680077449406	0.0	0.04	N/A
79	-6.6238680077449406	0.0	0.04	N/A
80	-6.6238680077449406	0.0	0.04	N/A
81	-6.6238680077449406	0.0	0.04	N/A
82	-6.6238680077449406	0.0	0.04	N/A
83	-6.6238680077449406	0.0	0.04	N/A
84	-6.6238680077449406	0.0	0.04	N/A
85	-6.6238680077449406	0.0	0.04	N/A
86	-6.6238680077449406	0.0	0.04	N/A
87	-6.6238680077449406	0.0	0.04	N/A
88	-6.6238680077449406	0.0	0.04	N/A
89	-6.6238680077449406	0.0	0.04	N/A
90	-6.6238680077449406	0.0	0.04	N/A
91	-6.6238680077449406	0.0	0.04	N/A
92	-6.6238680077449406	0.0	0.04	N/A
93	-6.6238680077449406	0.0	0.04	N/A
94	-6.6238680077449406	0.0	0.04	N/A
95	-6.6238680077449406	0.0	0.04	N/A
96	-5.933868023169709	0.0	0.04	N/A
97	-5.933868023169709	0.0	0.04	N/A
98	-5.933868023169709	0.0	0.04	N/A
99	-5.933868023169709	0.0	0.04	N/A
100	-5.933868023169709	0.0	0.04	N/A
101	-5.933868023169709	0.0	0.04	N/A
102	-5.933868023169709	0.0	0.04	N/A
103	-5.933868023169709	0.0	0.04	N/A
104	-5.933868023169709	0.0	0.04	N/A
105	-5.933868023169709	0.0	0.04	N/A
106	-5.933868023169709	0.0	0.04	N/A
107	-5.933868023169709	0.0	0.04	N/A
108	-5.933868023169709	0.0	0.04	N/A
109	-5.933868023169709	0.0	0.04	N/A
110	-5.933868023169709	0.0	0.04	N/A
111	-5.933868023169709	0.0	0.04	N/A
112	-5.933868023169709	0.0	0.04	N/A
113	-5.933868023169709	0.0	0.04	N/A
114	-5.933868023169709	0.0	0.04	N/A
115	-5.933868023169709	0.0	0.04	N/A
116	-5.933868023169709	0.0	0.04	N/A
117	-5.933868023169709	0.0	0.04	N/A
118	-5.933868023169709	0.0	0.04	N/A
119	-5.933868023169709	0.0	0.03	N/A
120	-4.60386805290152	0.0	0.03	N/A
121	-4.60386805290152	0.0	0.04	N/A
122	-4.60386805290152	0.0	0.04	N/A
123	-4.60386805290152	0.0	0.04	N/A
124	-4.60386805290152	0.0	0.04	N/A
125	-4.60386805290152	0.0	0.04	N/A
126	-4.60386805290152	0.0	0.04	N/A
127	-4.60386805290152	0.0	0.04	N/A
128	-4.60386805290152	0.0	0.04	N/A
129	-4.60386805290152	0.0	0.03	N/A
130	-4.60386805290152	0.0	0.03	N/A
131	-4.60386805290152	0.16	0.03	N/A
132	-4.60386805290152	0.0	0.03	N/A
133	-4.60386805290152	0.0	0.03	N/A
134	-4.60386805290152	0.0	0.03	N/A
135	-4.60386805290152	0.0	0.03	N/A
136	-4.60386805290152	0.0	0.03	N/A
137	-4.60386805290152	0.1	0.03	N/A
138	-4.60386805290152	0.0	0.03	N/A
139	-4.60386805290152	0.0	0.03	N/A
140	-4.60386805290152	0.0	0.03	N/A
141	-4.60386805290152	0.0	0.03	N/A
142	-4.60386805290152	0.0	0.03	N/A
143	-4.60386805290152	0.0	0.03	N/A
144	-4.93386804552445	0.0	0.03	N/A
145	-4.93386804552445	0.0	0.03	N/A
146	-4.93386804552445	0.0	0.03	N/A
147	-4.93386804552445	0.0	0.03	N/A
148	-4.93386804552445	0.0	0.03	N/A
149	-4.93386804552445	0.0	0.03	N/A
150	-4.93386804552445	0.0	0.03	N/A
