FID,WSO1_ID,FOOTPRINT,FACADE
0,346352.000000000000000,61189.320000000000000,94930.049703299999000
1,346350.000000000000000,111915.245930000000000,222815.353922999990000
2,346351.000000000000000,447243.436870999980000,884771.715005000010000
3,346358.000000000000000,111590.206514000000000,185250.508994000000000
4,346359.000000000000000,138980.736624999990000,219916.463469999990000
5,335656.000000000000000,4348.189999999999600,6745.849612910000400
6,335654.000000000000000,91653.839999999997000,142193.192573999990000
7,335655.000000000000000,359119.729999999980000,557143.872523000000000
8,335652.000000000000000,297819.299999999990000,462041.424041000020000
9,335651.000000000000000,66960.259999999995000,103883.170126000000000
10,340344.000000000000000,4567895.290000000000000,7086702.667030000100000
11,340345.000000000000000,60473.320000000000000,93819.233847399999000
12,349322.000000000000000,139574.660000000000000,216538.274008999990000
13,349323.000000000000000,60227.040000000001000,93437.169682099993000
14,338622.000000000000000,62501.199999999997000,96965.328201500000000
15,338623.000000000000000,152004.179999999990000,235821.606577000000000
16,343356.000000000000000,31011.254904800000000,41840.236531299997000
17,338628.000000000000000,83589.509999999995000,129682.049490000000000
18,332654.000000000000000,37190.660000000003000,57698.157953900001000
19,332652.000000000000000,57800.830000000002000,89673.104968900006000
20,332653.000000000000000,69214.600000000006000,107380.583003000010000
21,332650.000000000000000,75897.630000000005000,117748.756796000000000
22,332651.000000000000000,335073.650000000020000,519838.359169000000000
23,332659.000000000000000,84676.443387099993000,131368.329487999990000
24,346324.000000000000000,10219.620000000001000,11169.000131000001000
25,346325.000000000000000,749798.180000000050000,1163248.450939999900000
26,346320.000000000000000,246794.160000000000000,382880.230516000010000
27,335626.000000000000000,37390.860000000001000,58008.744611599999000
28,335624.000000000000000,179894.549999999990000,279091.156299999970000
29,340356.000000000000000,842199.158419999990000,1362064.455950000100000
30,340355.000000000000000,278541.900000000020000,191956.316495000010000
31,340359.000000000000000,21818.430000000000000,33849.451006700001000
32,349336.000000000000000,120071.700000000000000,186281.083179999990000
33,349337.000000000000000,23697.919999999998000,36765.351127499998000
34,349339.000000000000000,52611.919999999998000,81622.972618100001000
35,343324.000000000000000,184493.414999000000000,259570.480006000000000
36,343325.000000000000000,74.430000000000007,115.471818450000000
37,343321.000000000000000,57121.690000000002000,88619.472068699994000
38,332626.000000000000000,112593.450000000000000,174679.204134000000000
39,332620.000000000000000,57541.349999999999000,89270.538194699999000
40,332621.000000000000000,5207.390000000000300,8078.822956850000100
41,332629.000000000000000,107409.580000000000000,166636.879607999990000
42,346336.000000000000000,330152.900000000020000,512204.278882000010000
43,346334.000000000000000,85607.018853999994000,177873.105889000000000
44,346335.000000000000000,3067.909999999999900,4759.601592650000400
45,346338.000000000000000,93420.190000000002000,144933.532473000000000
46,335636.000000000000000,40116.750000000000000,62237.738201699998000
47,335637.000000000000000,65225.910000000003000,101192.477382000000000
48,335635.000000000000000,37408.739999999998000,58036.491690199997000
49,340327.000000000000000,11551.370000000001000,17920.980806799998000
50,340324.000000000000000,53.899999999999999,83.621268499999999
51,340323.000000000000000,9.730000000000000,15.101912194300001
52,340328.000000000000000,76113.369999999995000,118083.460339000000000
53,340329.000000000000000,24419.650000000001000,37885.016496700002000
54,349306.000000000000000,193.690000000000000,300.493571350000020
55,349305.000000000000000,194635.329999999990000,301960.246823999970000
56,349300.000000000000000,258523.250000000000000,401076.975248000000000
57,338606.000000000000000,60859.970000000001000,94419.076126800006000
58,338607.000000000000000,92848.289999999994000,144046.283451000000000
59,338604.000000000000000,14046.600000000000000,21792.114445800002000
60,338602.000000000000000,132081.950000000010000,204913.970185000010000
61,338603.000000000000000,78306.690000000002000,121486.210368999990000
62,338600.000000000000000,116142.270325000000000,180184.944838000000000
63,338601.000000000000000,196610.570000000010000,305024.654313999980000
64,343336.000000000000000,83639.844999099994000,148645.837624999990000
65,343337.000000000000000,89427.455000100003000,142209.690864000000000
66,343334.000000000000000,212095.060001000010000,296762.134194999990000
67,343335.000000000000000,444976.674997999970000,663343.640678999950000
68,343332.000000000000000,501380.210001999980000,750104.785470000000000
69,343333.000000000000000,246.790000041000010,0.000000000000000
70,343338.000000000000000,18901.930000000000000,29324.748521000001000
71,332636.000000000000000,24918.189999999999000,38658.461238199998000
72,332630.000000000000000,64821.459999999999000,100565.005715000010000
73,332631.000000000000000,29610.970000000001000,45938.913595799997000
74,332639.000000000000000,0.000000000000000,0.000000000000000
75,346307.000000000000000,181224.720000000000000,281154.840942999990000
76,346304.000000000000000,3963.449999999999800,6148.958725489999800
