step	T	P	Q	Emptymeas
0	-4.29774027623588	0.53	0.25	N/A
1	-4.29774027623588	0.78	0.25	N/A
2	-4.29774027623588	1.51	0.26	N/A
3	-4.29774027623588	0.0	0.26	N/A
4	-4.29774027623588	0.0	0.27	N/A
5	-4.29774027623588	0.0	0.28	N/A
6	-4.29774027623588	0.37	0.28	N/A
7	-4.29774027623588	0.42	0.28	N/A
8	-4.29774027623588	0.0	0.28	N/A
9	-4.29774027623588	0.0	0.28	N/A
10	-4.29774027623588	0.0	0.28	N/A
11	-4.29774027623588	0.0	0.27	N/A
12	-4.29774027623588	0.0	0.27	N/A
13	-4.29774027623588	0.0	0.27	N/A
14	-4.29774027623588	0.0	0.27	N/A
15	-4.29774027623588	0.0	0.27	N/A
16	-4.29774027623588	0.0	0.27	N/A
17	-4.29774027623588	0.0	0.27	N/A
18	-4.29774027623588	0.0	0.27	N/A
19	-4.29774027623588	0.0	0.26	N/A
20	-4.29774027623588	0.0	0.26	N/A
21	-4.29774027623588	0.1	0.26	N/A
22	-4.29774027623588	0.0	0.26	N/A
23	-4.29774027623588	0.0	0.26	N/A
24	-3.5777402923291404	0.0	0.11	N/A
25	-3.5777402923291404	0.0	0.06	N/A
26	-3.5777402923291404	0.0	0.06	N/A
27	-3.5777402923291404	0.0	0.06	N/A
28	-3.5777402923291404	0.07	0.06	N/A
29	-3.5777402923291404	0.19	0.06	N/A
30	-3.5777402923291404	0.12	0.06	N/A
31	-3.5777402923291404	0.0	0.06	N/A
32	-3.5777402923291404	0.0	0.06	N/A
33	-3.5777402923291404	0.0	0.06	N/A
34	-3.5777402923291404	0.0	0.06	N/A
35	-3.5777402923291404	0.0	0.06	N/A
36	-3.5777402923291404	0.0	0.06	N/A
37	-3.5777402923291404	0.0	0.06	N/A
38	-3.5777402923291404	0.0	0.06	N/A
39	-3.5777402923291404	0.0	0.06	N/A
40	-3.5777402923291404	0.0	0.06	N/A
41	-3.5777402923291404	0.0	0.06	N/A
42	-3.5777402923291404	0.0	0.06	N/A
43	-3.5777402923291404	0.0	0.06	N/A
44	-3.5777402923291404	0.0	0.06	N/A
45	-3.5777402923291404	0.0	0.06	N/A
46	-3.5777402923291404	0.0	0.06	N/A
47	-3.5777402923291404	0.0	0.06	N/A
48	-6.42774022862667	0.0	0.2	N/A
49	-6.42774022862667	0.0	0.2	N/A
50	-6.42774022862667	0.0	0.2	N/A
51	-6.42774022862667	0.0	0.2	N/A
52	-6.42774022862667	0.0	0.19	N/A
53	-6.42774022862667	0.0	0.19	N/A
54	-6.42774022862667	0.0	0.19	N/A
55	-6.42774022862667	0.0	0.19	N/A
56	-6.42774022862667	0.0	0.19	N/A
57	-6.42774022862667	0.0	0.18	N/A
58	-6.42774022862667	0.0	0.18	N/A
59	-6.42774022862667	0.0	0.18	N/A
60	-6.42774022862667	0.13	0.18	N/A
61	-6.42774022862667	0.62	0.18	N/A
62	-6.42774022862667	0.28	0.18	N/A
63	-6.42774022862667	0.36	0.17	N/A
64	-6.42774022862667	0.42	0.17	N/A
65	-6.42774022862667	0.28	0.17	N/A
66	-6.42774022862667	0.0	0.17	N/A
67	-6.42774022862667	0.0	0.17	N/A
68	-6.42774022862667	0.0	0.17	N/A
69	-6.42774022862667	0.0	0.16	N/A
70	-6.42774022862667	0.0	0.16	N/A
71	-6.42774022862667	0.0	0.16	N/A
72	-7.83774019711072	0.0	0.16	N/A
73	-7.83774019711072	0.0	0.15	N/A
74	-7.83774019711072	0.0	0.15	N/A
75	-7.83774019711072	0.0	0.15	N/A
76	-7.83774019711072	0.0	0.15	N/A
77	-7.83774019711072	0.0	0.15	N/A
78	-7.83774019711072	0.0	0.15	N/A
79	-7.83774019711072	0.0	0.15	N/A
80	-7.83774019711072	0.0	0.15	N/A
81	-7.83774019711072	0.0	0.15	N/A
82	-7.83774019711072	0.0	0.14	N/A
83	-7.83774019711072	0.0	0.14	N/A
84	-7.83774019711072	0.0	0.14	N/A
85	-7.83774019711072	0.0	0.14	N/A
86	-7.83774019711072	0.04	0.14	N/A
87	-7.83774019711072	0.0	0.14	N/A
88	-7.83774019711072	0.0	0.14	N/A
89	-7.83774019711072	0.0	0.14	N/A
90	-7.83774019711072	0.0	0.14	N/A
91	-7.83774019711072	0.0	0.13	N/A
92	-7.83774019711072	0.0	0.13	N/A
93	-7.83774019711072	0.0	0.13	N/A
94	-7.83774019711072	0.0	0.13	N/A
95	-7.83774019711072	0.0	0.13	N/A
96	-7.59774020247514	0.0	0.13	N/A
97	-7.59774020247514	0.0	0.13	N/A
98	-7.59774020247514	0.0	0.13	N/A
99	-7.59774020247514	0.0	0.13	N/A
100	-7.59774020247514	0.0	0.13	N/A
101	-7.59774020247514	0.0	0.13	N/A
102	-7.59774020247514	0.0	0.12	N/A
103	-7.59774020247514	0.0	0.12	N/A
104	-7.59774020247514	0.0	0.12	N/A
105	-7.59774020247514	0.0	0.12	N/A
106	-7.59774020247514	0.0	0.12	N/A
107	-7.59774020247514	0.0	0.12	N/A
108	-7.59774020247514	0.0	0.12	N/A
109	-7.59774020247514	0.0	0.12	N/A
110	-7.59774020247514	0.0	0.12	N/A
111	-7.59774020247514	0.0	0.12	N/A
112	-7.59774020247514	0.0	0.12	N/A
113	-7.59774020247514	0.0	0.12	N/A
114	-7.59774020247514	0.0	0.12	N/A
115	-7.59774020247514	0.0	0.11	N/A
116	-7.59774020247514	0.0	0.11	N/A
117	-7.59774020247514	0.0	0.11	N/A
118	-7.59774020247514	0.0	0.11	N/A
119	-7.59774020247514	0.0	0.11	N/A
120	-8.43774018369967	0.0	0.11	N/A
121	-8.43774018369967	0.0	0.11	N/A
122	-8.43774018369967	0.0	0.11	N/A
123	-8.43774018369967	0.0	0.11	N/A
124	-8.43774018369967	0.0	0.11	N/A
125	-8.43774018369967	0.0	0.11	N/A
126	-8.43774018369967	0.0	0.11	N/A
127	-8.43774018369967	0.0	0.11	N/A
128	-8.43774018369967	0.0	0.11	N/A
129	-8.43774018369967	0.0	0.11	N/A
130	-8.43774018369967	0.0	0.1	N/A
131	-8.43774018369967	0.0	0.1	N/A
132	-8.43774018369967	0.0	0.1	N/A
133	-8.43774018369967	0.0	0.1	N/A
134	-8.43774018369967	0.0	0.1	N/A
135	-8.43774018369967	0.0	0.1	N/A
136	-8.43774018369967	0.0	0.1	N/A
137	-8.43774018369967	0.0	0.1	N/A
138	-8.43774018369967	0.0	0.1	N/A
139	-8.43774018369967	0.0	0.1	N/A
140	-8.43774018369967	0.0	0.1	N/A
141	-8.43774018369967	0.0	0.1	N/A
142	-8.43774018369967	0.0	0.1	N/A
143	-8.43774018369967	0.0	0.1	N/A
144	-6.58774022505039	0.0	0.1	N/A
145	-6.58774022505039	0.0	0.1	N/A
146	-6.58774022505039	0.0	0.09	N/A
147	-6.58774022505039	0.0	0.09	N/A
148	-6.58774022505039	0.0	0.09	N/A
149	-6.58774022505039	0.0	0.09	N/A
150	-6.58774022505039	0.0	0.09	N/A
151	-6.58774022505039	0.0	0.09	N/A
152	-6.58774022505039	0.0	0.09	N/A
153	-6.58774022505039	0.0	0.09	N/A
154	-6.58774022505039	0.0	0.09	N/A
155	-6.58774022505039	0.0	0.09	N/A
156	-6.58774022505039	0.0	0.09	N/A
157	-6.58774022505039	0.0	0.09	N/A
158	-6.58774022505039	0.0	0.09	N/A
159	-6.58774022505039	0.0	0.09	N/A
160	-6.58774022505039	0.0	0.09	N/A
161	-6.58774022505039	0.0	0.09	N/A
162	-6.58774022505039	0.0	0.09	N/A
163	-6.58774022505039	0.0	0.08	N/A
164	-6.58774022505039	0.0	0.08	N/A
165	-6.58774022505039	0.0	0.08	N/A
166	-6.58774022505039	0.0	0.08	N/A
167	-6.58774022505039	0.0	0.08	N/A
168	-5.6677402456140005	0.0	0.08	N/A
169	-5.6677402456140005	0.0	0.08	N/A
170	-5.6677402456140005	0.0	0.08	N/A
171	-5.6677402456140005	0.0	0.08	N/A
172	-5.6677402456140005	0.0	0.08	N/A
173	-5.6677402456140005	0.0	0.08	N/A
174	-5.6677402456140005	0.0	0.08	N/A
175	-5.6677402456140005	0.0	0.08	N/A
176	-5.6677402456140005	0.0	0.08	N/A
177	-5.6677402456140005	0.0	0.08	N/A
178	-5.6677402456140005	0.0	0.08	N/A
179	-5.6677402456140005	0.0	0.08	N/A
180	-5.6677402456140005	0.0	0.08	N/A
181	-5.6677402456140005	0.0	0.08	N/A
182	-5.6677402456140005	0.0	0.08	N/A
183	-5.6677402456140005	0.0	0.08	N/A
184	-5.6677402456140005	0.0	0.08	N/A
185	-5.6677402456140005	0.0	0.08	N/A
186	-5.6677402456140005	0.0	0.07	N/A
187	-5.6677402456140005	0.0	0.07	N/A
188	-5.6677402456140005	0.0	0.07	N/A
189	-5.6677402456140005	0.0	0.07	N/A
190	-5.6677402456140005	0.0	0.07	N/A
191	-5.6677402456140005	0.0	0.07	N/A
192	-5.0477402594720795	0.0	0.07	N/A
193	-5.0477402594720795	0.0	0.07	N/A
194	-5.0477402594720795	0.1	0.07	N/A
195	-5.0477402594720795	0.16	0.07	N/A
196	-5.0477402594720795	0.0	0.07	N/A
197	-5.0477402594720795	0.0	0.07	N/A
198	-5.0477402594720795	0.0	0.07	N/A
199	-5.0477402594720795	0.0	0.07	N/A
200	-5.0477402594720795	0.0	0.07	N/A
201	-5.0477402594720795	0.0	0.07	N/A
202	-5.0477402594720795	0.0	0.07	N/A
203	-5.0477402594720795	0.0	0.07	N/A
204	-5.0477402594720795	0.0	0.07	N/A
205	-5.0477402594720795	0.0	0.07	N/A
206	-5.0477402594720795	0.0	0.07	N/A
207	-5.0477402594720795	0.0	0.07	N/A
208	-5.0477402594720795	0.0	0.07	N/A
209	-5.0477402594720795	0.0	0.07	N/A
210	-5.0477402594720795	0.0	0.07	N/A
211	-5.0477402594720795	0.0	0.07	N/A
212	-5.0477402594720795	0.0	0.07	N/A
213	-5.0477402594720795	0.0	0.07	N/A
214	-5.0477402594720795	0.01	0.07	N/A
215	-5.0477402594720795	0.1	0.07	N/A
216	-6.36774022996778	0.01	0.07	N/A
217	-6.36774022996778	0.21	0.07	N/A
218	-6.36774022996778	0.1	0.07	N/A
219	-6.36774022996778	0.0	0.07	N/A
220	-6.36774022996778	0.0	0.07	N/A
221	-6.36774022996778	0.01	0.07	N/A
222	-6.36774022996778	0.0	0.07	N/A
223	-6.36774022996778	0.0	0.07	N/A
224	-6.36774022996778	0.0	0.07	N/A
225	-6.36774022996778	0.0	0.07	N/A
226	-6.36774022996778	0.0	0.07	N/A
227	-6.36774022996778	0.0	0.07	N/A
228	-6.36774022996778	0.0	0.07	N/A
229	-6.36774022996778	0.0	0.07	N/A
230	-6.36774022996778	0.19	0.07	N/A
231	-6.36774022996778	0.89	0.07	N/A
232	-6.36774022996778	0.4	0.06	N/A
233	-6.36774022996778	0.11	0.06	N/A
234	-6.36774022996778	0.0	0.06	N/A
235	-6.36774022996778	0.0	0.06	N/A
236	-6.36774022996778	0.19	0.06	N/A
237	-6.36774022996778	0.0	0.06	N/A
238	-6.36774022996778	0.07	0.06	N/A
