step	T	P	Q	Emptymeas
0	-1.6902019306319698	0.0	1.12	N/A
1	-1.6902019306319698	0.0	1.12	N/A
2	-1.6902019306319698	0.0	1.11	N/A
3	-1.6902019306319698	0.0	1.09	N/A
4	-1.6902019306319698	0.0	1.08	N/A
5	-1.6902019306319698	0.0	1.07	N/A
6	-1.6902019306319698	0.0	1.06	N/A
7	-1.6902019306319698	0.0	1.05	N/A
8	-1.6902019306319698	0.0	1.03	N/A
9	-1.6902019306319698	0.0	1.02	N/A
10	-1.6902019306319698	0.0	1.01	N/A
11	-1.6902019306319698	0.0	0.99	N/A
12	-1.6902019306319698	0.0	0.98	N/A
13	-1.6902019306319698	0.0	0.96	N/A
14	-1.6902019306319698	0.0	0.95	N/A
15	-1.6902019306319698	0.0	0.94	N/A
16	-1.6902019306319698	0.0	0.92	N/A
17	-1.6902019306319698	0.0	0.91	N/A
18	-1.6902019306319698	0.0	0.89	N/A
19	-1.6902019306319698	0.0	0.88	N/A
20	-1.6902019306319698	0.0	0.87	N/A
21	-1.6902019306319698	0.0	0.85	N/A
22	-1.6902019306319698	0.0	0.84	N/A
23	-1.6902019306319698	0.0	0.83	N/A
24	-0.7193994024731221	0.0	0.82	N/A
25	-0.7193994024731221	0.0	0.81	N/A
26	-0.7193994024731221	0.0	0.8	N/A
27	-0.7193994024731221	0.0	0.78	N/A
28	-0.7193994024731221	0.0	0.77	N/A
29	-0.7193994024731221	0.0	0.76	N/A
30	-0.7193994024731221	0.0	0.75	N/A
31	-0.7193994024731221	0.0	0.73	N/A
32	-0.7193994024731221	0.0	0.73	N/A
33	-0.7193994024731221	0.0	0.71	N/A
34	-0.7193994024731221	0.0	0.7	N/A
35	-0.7193994024731221	0.0	0.69	N/A
36	-0.7193994024731221	0.0	0.68	N/A
37	-0.7193994024731221	0.0	0.67	N/A
38	-0.7193994024731221	0.0	0.66	N/A
39	-0.7193994024731221	0.0	0.65	N/A
40	-0.7193994024731221	0.0	0.65	N/A
41	-0.7193994024731221	0.0	0.64	N/A
42	-0.7193994024731221	0.0	0.63	N/A
43	-0.7193994024731221	0.0	0.63	N/A
44	-0.7193994024731221	0.0	0.62	N/A
45	-0.7193994024731221	0.0	0.61	N/A
46	-0.7193994024731221	0.0	0.6	N/A
47	-0.7193994024731221	0.0	0.59	N/A
48	-5.628696985264059	0.0	0.58	N/A
49	-5.628696985264059	0.0	0.57	N/A
50	-5.628696985264059	0.0	0.57	N/A
51	-5.628696985264059	0.0	0.56	N/A
