step	T	P	Q	Emptymeas	CalcC_atrazin_340324	Mstock	Mavail	Munavail	Fapplic	M_to_apply	T_sum	Fapplicgreen	M_green_to_apply
0	-2.32165251	0	0.15	NaN	0	0	0	0	0	0	0	0	0
1	-2.32165251	0	0.15	NaN	11.7932	0	0	0	0	0	0	0	0
2	-2.32165251	0	0.15	NaN	11.7932	0	0	0	0	0	0	0	0
3	-2.32165251	0	0.15	NaN	11.7932	0	0	0	0	0	0	0	0
4	-2.32165251	0	0.14	NaN	11.7932	0	0	0	0	0	0	0	0
5	-2.32165251	0	0.14	NaN	11.7932	0	0	0	0	0	0	0	0
6	-2.32165251	0	0.14	NaN	11.7932	0	0	0	0	0	0	0	0
7	-2.32165251	0.11	0.14	NaN	11.7932	0	0	0	0	0	0	0	0
8	-2.32165251	0	0.14	NaN	11.7932	0	0	0	0	0	0	0	0
9	-2.32165251	0	0.14	NaN	11.7932	0	0	0	0	0	0	0	0
10	-2.32165251	0	0.13	NaN	11.7932	0	0	0	0	0	0	0	0
11	-2.32165251	0	0.13	NaN	11.7932	0	0	0	0	0	0	0	0
12	-2.32165251	0.19	0.13	NaN	11.7932	0	0	0	0	0	0	0	0
13	-2.32165251	0	0.13	NaN	11.7932	0	0	0	0	0	0	0	0
14	-2.32165251	0	0.13	NaN	11.7932	0	0	0	0	0	0	0	0
15	-2.32165251	0	0.12	NaN	11.7932	0	0	0	0	0	0	0	0
16	-2.32165251	0	0.12	NaN	11.7932	0	0	0	0	0	0	0	0
17	-2.32165251	0	0.12	NaN	11.7932	0	0	0	0	0	0	0	0
18	-2.32165251	0	0.12	NaN	11.7932	0	0	0	0	0	0	0	0
19	-2.32165251	0	0.12	NaN	11.7932	0	0	0	0	0	0	0	0
20	-2.32165251	0	0.11	NaN	11.7932	0	0	0	0	0	0	0	0
21	-2.32165251	0	0.11	NaN	11.7932	0	0	0	0	0	0	0	0
22	-2.32165251	0	0.11	NaN	11.7932	0	0	0	0	0	0	0	0
23	-2.32165251	0.17	0.11	NaN	11.7932	0	0	0	0	0	0	0	0
24	-1.95165252	0.25	0.11	NaN	11.7932	0	0	0	0	0	0	0	0
25	-1.95165252	0.15	0.11	NaN	11.7932	0	0	0	0	0	0	0	0
26	-1.95165252	0.16	0.11	NaN	11.7932	0	0	0	0	0	0	0	0
27	-1.95165252	0	0.11	NaN	11.7932	0	0	0	0	0	0	0	0
28	-1.95165252	0	0.1	NaN	11.7932	0	0	0	0	0	0	0	0
29	-1.95165252	0	0.1	NaN	11.7932	0	0	0	0	0	0	0	0
30	-1.95165252	0	0.1	NaN	11.7932	0	0	0	0	0	0	0	0
31	-1.95165252	0	0.1	NaN	11.7932	0	0	0	0	0	0	0	0
32	-1.95165252	0	0.1	NaN	11.7932	0	0	0	0	0	0	0	0
33	-1.95165252	0	0.1	NaN	11.7932	0	0	0	0	0	0	0	0
34	-1.95165252	0	0.1	NaN	11.7932	0	0	0	0	0	0	0	0
35	-1.95165252	0	0.1	NaN	11.7932	0	0	0	0	0	0	0	0
36	-1.95165252	0	0.1	NaN	11.7932	0	0	0	0	0	0	0	0
37	-1.95165252	0	0.1	NaN	11.7932	0	0	0	0	0	0	0	0
38	-1.95165252	0	0.1	NaN	11.7932	0	0	0	0	0	0	0	0
39	-1.95165252	0	0.1	NaN	11.7932	0	0	0	0	0	0	0	0
40	-1.95165252	0	0.09	NaN	11.7932	0	0	0	0	0	0	0	0
41	-1.95165252	0	0.09	NaN	11.7932	0	0	0	0	0	0	0	0
42	-1.95165252	0	0.09	NaN	11.7932	0	0	0	0	0	0	0	0
43	-1.95165252	0	0.09	NaN	11.7932	0	0	0	0	0	0	0	0
44	-1.95165252	0	0.09	NaN	11.7932	0	0	0	0	0	0	0	0
45	-1.95165252	0	0.09	NaN	11.7932	0	0	0	0	0	0	0	0
46	-1.95165252	0	0.09	NaN	11.7932	0	0	0	0	0	0	0	0
47	-1.95165252	0	0.09	NaN	11.7932	0	0	0	0	0	0	0	0
48	-5.84165243	0	0.09	NaN	11.7932	0	0	0	0	0.00766039553	0	0	0
49	-5.84165243	0	0.09	NaN	11.7932	0	0	0	0	0.010506163	0	0	0
50	-5.84165243	0	0.09	NaN	11.7932	0	0	0	0	0.0115636555	0	0	0
51	-5.84165243	0	0.09	NaN	11.7932	0	0	0	0	0.011956586	0	0	0
52	-5.84165243	0	0.09	NaN	11.7932	0	0	0	0	0.0121027127	0	0	0
53	-5.84165243	0	0.09	NaN	11.7932	0	0	0	0	0.0121574423	0	0	0
54	-5.84165243	0	0.09	NaN	11.7932	0	0	0	0	0.0121779643	0	0	0
55	-5.84165243	0	0.09	NaN	11.7932	0	0	0	0	0.0121856619	0	0	0
56	-5.84165243	0	0.09	NaN	11.7932	0	0	0	0	0.0121882363	0	0	0
57	-5.84165243	0.06	0.09	NaN	11.7932	0	0	0	0	0.0121895109	0	0	0
58	-5.84165243	0	0.09	NaN	11.7932	0	0	0	0	0.0121899944	0	0	0
59	-5.84165243	0.27	0.09	NaN	11.7932	0	0	0	0	0.0121901776	0	0	0
60	-5.84165243	0	0.08	NaN	11.7932	0	0	0	0	0.0121902466	0	0	0
61	-5.84165243	0	0.08	NaN	11.7932	0	0	0	0	0.0121902724	0	0	0
62	-5.84165243	0	0.08	NaN	11.7932	0	0	0	0	0.012190282	0	0	0
63	-5.84165243	0	0.08	NaN	11.7932	0	0	0	0	0.0121902856	0	0	0
64	-5.84165243	0	0.08	NaN	11.7932	0	0	0	0	0.0121902869	0	0	0
65	-5.84165243	0	0.08	NaN	11.7932	0	0	0	0	0.0121902873	0	0	0
66	-5.84165243	0	0.08	NaN	11.7932	0	0	0	0	0.0121902875	0	0	0
67	-5.84165243	0	0.08	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
68	-5.84165243	0	0.08	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
69	-5.84165243	0	0.08	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
70	-5.84165243	0	0.08	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
71	-5.84165243	0	0.08	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
72	-7.13165241	0	0.08	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
73	-7.13165241	0	0.08	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
74	-7.13165241	0.01	0.08	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
75	-7.13165241	0	0.08	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
76	-7.13165241	0	0.08	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
77	-7.13165241	0	0.08	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
78	-7.13165241	0	0.08	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
79	-7.13165241	0	0.08	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
80	-7.13165241	0	0.08	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
81	-7.13165241	0	0.08	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
82	-7.13165241	0	0.08	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
83	-7.13165241	0	0.08	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
84	-7.13165241	0	0.08	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
85	-7.13165241	0	0.08	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
86	-7.13165241	0	0.08	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
87	-7.13165241	0	0.08	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
88	-7.13165241	0	0.08	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
89	-7.13165241	0	0.08	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
90	-7.13165241	0	0.08	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
91	-7.13165241	0	0.07	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
92	-7.13165241	0	0.07	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
93	-7.13165241	0	0.07	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
94	-7.13165241	0	0.07	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
95	-7.13165241	0	0.07	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
96	-5.79165244	0	0.07	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
97	-5.79165244	0	0.07	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
98	-5.79165244	0	0.07	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
99	-5.79165244	0	0.07	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
100	-5.79165244	0	0.07	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
101	-5.79165244	0	0.07	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
102	-5.79165244	0	0.07	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
103	-5.79165244	0	0.07	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
104	-5.79165244	0	0.07	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
105	-5.79165244	0	0.07	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
106	-5.79165244	0	0.07	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
107	-5.79165244	0	0.07	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
108	-5.79165244	0	0.07	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
109	-5.79165244	0	0.07	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
110	-5.79165244	0	0.07	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
111	-5.79165244	0	0.07	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
112	-5.79165244	0	0.07	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
113	-5.79165244	0	0.07	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
114	-5.79165244	0	0.07	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
115	-5.79165244	0	0.07	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
116	-5.79165244	0	0.07	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
117	-5.79165244	0	0.07	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
118	-5.79165244	0	0.07	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
119	-5.79165244	0	0.07	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
120	-4.14165247	0	0.07	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
121	-4.14165247	0	0.07	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
122	-4.14165247	0	0.07	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
123	-4.14165247	0	0.07	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
124	-4.14165247	0	0.07	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
125	-4.14165247	0	0.07	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
126	-4.14165247	0	0.07	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
127	-4.14165247	0	0.07	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
128	-4.14165247	0	0.07	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
129	-4.14165247	0	0.07	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
130	-4.14165247	0	0.07	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
131	-4.14165247	0	0.07	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
132	-4.14165247	0	0.07	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
133	-4.14165247	0	0.07	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
134	-4.14165247	0	0.07	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
135	-4.14165247	0	0.07	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
136	-4.14165247	0	0.07	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
137	-4.14165247	0	0.07	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
138	-4.14165247	0	0.07	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
139	-4.14165247	0	0.07	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
140	-4.14165247	0	0.07	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
141	-4.14165247	0	0.07	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
142	-4.14165247	0	0.07	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
143	-4.14165247	0	0.07	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
144	-4.48165247	0	0.07	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
145	-4.48165247	0	0.07	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
146	-4.48165247	0	0.07	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
147	-4.48165247	0	0.07	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
148	-4.48165247	0	0.07	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
149	-4.48165247	0	0.07	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
150	-4.48165247	0	0.07	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
