step	T	P	Q	Emptymeas
0	-4.37435207982829	0.0	0.26	N/A
1	-4.37435207982829	0.6	0.26	N/A
2	-4.37435207982829	0.0	0.26	N/A
3	-4.37435207982829	0.0	0.25	N/A
4	-4.37435207982829	0.0	0.25	N/A
5	-4.37435207982829	0.16	0.25	N/A
6	-4.37435207982829	1.3	0.25	N/A
7	-4.37435207982829	0.01	0.25	N/A
8	-4.37435207982829	0.0	0.25	N/A
9	-4.37435207982829	0.0	0.25	N/A
10	-4.37435207982829	0.0	0.24	N/A
11	-4.37435207982829	0.0	0.23	N/A
12	-4.37435207982829	0.0	0.22	N/A
13	-4.37435207982829	0.0	0.22	N/A
14	-4.37435207982829	0.0	0.21	N/A
15	-4.37435207982829	0.0	0.2	N/A
16	-4.37435207982829	0.0	0.2	N/A
17	-4.37435207982829	0.0	0.19	N/A
18	-4.37435207982829	0.03	0.18	N/A
19	-4.37435207982829	0.0	0.17	N/A
20	-4.37435207982829	0.0	0.16	N/A
21	-4.37435207982829	0.0	0.16	N/A
22	-4.37435207982829	0.0	0.15	N/A
23	-4.37435207982829	0.0	0.14	N/A
24	-3.46605898275698	0.0	0.14	N/A
25	-3.46605898275698	0.0	0.13	N/A
26	-3.46605898275698	0.0	0.13	N/A
27	-3.46605898275698	0.0	0.12	N/A
28	-3.46605898275698	0.0	0.12	N/A
29	-3.46605898275698	0.0	0.11	N/A
30	-3.46605898275698	0.0	0.11	N/A
31	-3.46605898275698	0.0	0.11	N/A
32	-3.46605898275698	0.0	0.1	N/A
33	-3.46605898275698	0.0	0.1	N/A
34	-3.46605898275698	0.0	0.09	N/A
35	-3.46605898275698	0.0	0.09	N/A
36	-3.46605898275698	0.0	0.06	N/A
37	-3.46605898275698	0.0	0.07	N/A
38	-3.46605898275698	0.0	0.07	N/A
39	-3.46605898275698	0.0	0.07	N/A
40	-3.46605898275698	0.0	0.07	N/A
41	-3.46605898275698	0.0	0.07	N/A
42	-3.46605898275698	0.0	0.07	N/A
43	-3.46605898275698	0.0	0.07	N/A
44	-3.46605898275698	0.0	0.07	N/A
45	-3.46605898275698	0.0	0.07	N/A
46	-3.46605898275698	0.0	0.07	N/A
47	-3.46605898275698	0.0	0.07	N/A
48	-6.399617738618879	0.0	0.07	N/A
49	-6.399617738618879	0.0	0.07	N/A
50	-6.399617738618879	0.0	0.07	N/A
51	-6.399617738618879	0.0	0.07	N/A
52	-6.399617738618879	0.0	0.07	N/A
53	-6.399617738618879	0.0	0.07	N/A
54	-6.399617738618879	0.0	0.07	N/A
55	-6.399617738618879	0.0	0.07	N/A
56	-6.399617738618879	0.0	0.07	N/A
57	-6.399617738618879	0.0	0.07	N/A
58	-6.399617738618879	0.07	0.07	N/A
59	-6.399617738618879	0.7	0.07	N/A
60	-6.399617738618879	0.8	0.07	N/A
61	-6.399617738618879	0.36	0.07	N/A
62	-6.399617738618879	0.0	0.07	N/A
63	-6.399617738618879	0.13	0.07	N/A
64	-6.399617738618879	0.0	0.07	N/A
65	-6.399617738618879	0.0	0.07	N/A
66	-6.399617738618879	0.0	0.07	N/A
67	-6.399617738618879	0.0	0.07	N/A
68	-6.399617738618879	0.0	0.07	N/A
69	-6.399617738618879	0.0	0.07	N/A
70	-6.399617738618879	0.21	0.07	N/A
71	-6.399617738618879	0.0	0.07	N/A
72	-8.01520550116678	0.0	0.07	N/A
73	-8.01520550116678	0.0	0.07	N/A
74	-8.01520550116678	0.0	0.07	N/A
75	-8.01520550116678	0.0	0.07	N/A
76	-8.01520550116678	0.0	0.07	N/A
77	-8.01520550116678	0.0	0.07	N/A
78	-8.01520550116678	0.0	0.07	N/A
79	-8.01520550116678	0.0	0.07	N/A
80	-8.01520550116678	0.0	0.07	N/A
81	-8.01520550116678	0.0	0.07	N/A
82	-8.01520550116678	0.0	0.07	N/A
83	-8.01520550116678	0.0	0.07	N/A
84	-8.01520550116678	0.0	0.07	N/A
85	-8.01520550116678	0.0	0.06	N/A
86	-8.01520550116678	0.0	0.06	N/A
87	-8.01520550116678	0.0	0.06	N/A
88	-8.01520550116678	0.0	0.06	N/A
89	-8.01520550116678	0.0	0.06	N/A
90	-8.01520550116678	0.0	0.06	N/A
91	-8.01520550116678	0.0	0.06	N/A
92	-8.01520550116678	0.0	0.06	N/A
93	-8.01520550116678	0.0	0.06	N/A
94	-8.01520550116678	0.0	0.06	N/A
95	-8.01520550116678	0.0	0.06	N/A
96	-7.46538262100497	0.0	0.06	N/A
97	-7.46538262100497	0.0	0.06	N/A
98	-7.46538262100497	0.0	0.06	N/A
99	-7.46538262100497	0.0	0.06	N/A
100	-7.46538262100497	0.0	0.06	N/A
101	-7.46538262100497	0.0	0.06	N/A
102	-7.46538262100497	0.0	0.06	N/A
103	-7.46538262100497	0.0	0.06	N/A
104	-7.46538262100497	0.0	0.06	N/A
105	-7.46538262100497	0.0	0.06	N/A
106	-7.46538262100497	0.0	0.06	N/A
107	-7.46538262100497	0.0	0.06	N/A
108	-7.46538262100497	0.0	0.06	N/A
109	-7.46538262100497	0.0	0.06	N/A
110	-7.46538262100497	0.0	0.06	N/A
111	-7.46538262100497	0.0	0.06	N/A
112	-7.46538262100497	0.0	0.06	N/A
113	-7.46538262100497	0.0	0.06	N/A
114	-7.46538262100497	0.0	0.06	N/A
115	-7.46538262100497	0.0	0.06	N/A
116	-7.46538262100497	0.0	0.06	N/A
117	-7.46538262100497	0.0	0.05	N/A
118	-7.46538262100497	0.0	0.05	N/A
119	-7.46538262100497	0.0	0.05	N/A
120	-8.197411612609649	0.0	0.04	N/A
121	-8.197411612609649	0.0	0.04	N/A
122	-8.197411612609649	0.0	0.04	N/A
123	-8.197411612609649	0.0	0.04	N/A
124	-8.197411612609649	0.0	0.04	N/A
125	-8.197411612609649	0.0	0.04	N/A
126	-8.197411612609649	0.0	0.04	N/A
127	-8.197411612609649	0.0	0.04	N/A
128	-8.197411612609649	0.0	0.04	N/A
129	-8.197411612609649	0.0	0.04	N/A
130	-8.197411612609649	0.0	0.03	N/A
131	-8.197411612609649	0.0	0.03	N/A
132	-8.197411612609649	0.0	0.03	N/A
133	-8.197411612609649	0.0	0.03	N/A
134	-8.197411612609649	0.0	0.03	N/A
135	-8.197411612609649	0.0	0.03	N/A
136	-8.197411612609649	0.0	0.03	N/A
137	-8.197411612609649	0.0	0.03	N/A
138	-8.197411612609649	0.0	0.03	N/A
139	-8.197411612609649	0.0	0.03	N/A
140	-8.197411612609649	0.0	0.03	N/A
141	-8.197411612609649	0.0	0.03	N/A
142	-8.197411612609649	0.0	0.03	N/A
143	-8.197411612609649	0.0	0.03	N/A
144	-6.198087959648171	0.0	0.03	N/A
145	-6.198087959648171	0.0	0.03	N/A
146	-6.198087959648171	0.0	0.03	N/A
147	-6.198087959648171	0.0	0.03	N/A
148	-6.198087959648171	0.0	0.03	N/A
149	-6.198087959648171	0.0	0.03	N/A
150	-6.198087959648171	0.0	0.03	N/A
151	-6.198087959648171	0.0	0.03	N/A
152	-6.198087959648171	0.0	0.03	N/A
153	-6.198087959648171	0.0	0.03	N/A
154	-6.198087959648171	0.0	0.03	N/A
155	-6.198087959648171	0.0	0.03	N/A
156	-6.198087959648171	0.0	0.03	N/A
157	-6.198087959648171	0.0	0.03	N/A
158	-6.198087959648171	0.0	0.03	N/A
159	-6.198087959648171	0.0	0.03	N/A
160	-6.198087959648171	0.0	0.03	N/A
161	-6.198087959648171	0.0	0.03	N/A
162	-6.198087959648171	0.0	0.03	N/A
163	-6.198087959648171	0.0	0.03	N/A
164	-6.198087959648171	0.0	0.03	N/A
165	-6.198087959648171	0.0	0.03	N/A
166	-6.198087959648171	0.0	0.03	N/A
167	-6.198087959648171	0.0	0.03	N/A
168	-4.9387643012427	0.0	0.03	N/A
169	-4.9387643012427	0.0	0.03	N/A
170	-4.9387643012427	0.0	0.03	N/A
171	-4.9387643012427	0.0	0.03	N/A
172	-4.9387643012427	0.0	0.03	N/A
173	-4.9387643012427	0.0	0.03	N/A
174	-4.9387643012427	0.0	0.03	N/A
175	-4.9387643012427	0.0	0.03	N/A
176	-4.9387643012427	0.0	0.03	N/A
177	-4.9387643012427	0.0	0.03	N/A
178	-4.9387643012427	0.0	0.03	N/A
179	-4.9387643012427	0.0	0.03	N/A
180	-4.9387643012427	0.0	0.03	N/A
181	-4.9387643012427	0.0	0.03	N/A
182	-4.9387643012427	0.0	0.03	N/A
183	-4.9387643012427	0.17	0.03	N/A
184	-4.9387643012427	0.08	0.03	N/A
185	-4.9387643012427	0.0	0.03	N/A
186	-4.9387643012427	0.0	0.03	N/A
187	-4.9387643012427	0.07	0.03	N/A
188	-4.9387643012427	0.06	0.03	N/A
189	-4.9387643012427	0.13	0.03	N/A
190	-4.9387643012427	0.0	0.03	N/A
191	-4.9387643012427	0.0	0.03	N/A
192	-4.66588185813689	0.37	0.03	N/A
193	-4.66588185813689	0.19	0.03	N/A
194	-4.66588185813689	0.43	0.03	N/A
195	-4.66588185813689	0.43	0.03	N/A
196	-4.66588185813689	0.28	0.03	N/A
197	-4.66588185813689	0.04	0.03	N/A
198	-4.66588185813689	0.27	0.03	N/A
199	-4.66588185813689	0.08	0.03	N/A
200	-4.66588185813689	0.0	0.03	N/A
201	-4.66588185813689	0.0	0.03	N/A
202	-4.66588185813689	0.0	0.03	N/A
203	-4.66588185813689	0.0	0.03	N/A
204	-4.66588185813689	0.0	0.03	N/A
205	-4.66588185813689	0.0	0.03	N/A
206	-4.66588185813689	0.0	0.03	N/A
207	-4.66588185813689	0.0	0.03	N/A
208	-4.66588185813689	0.0	0.03	N/A
209	-4.66588185813689	0.0	0.03	N/A
