step	T	P	Q	Emptymeas	CalcC_atrazin_332659	Mstock	Mavail	Munavail	Fapplic	M_to_apply	T_sum	Fapplicgreen	M_green_to_apply
0	-4.32845459	0	2.19	NaN	0	0	0	0	0	0	0	0	0
1	-4.32845459	0	2.2	NaN	11.7932	0	0	0	0	0	0	0	0
2	-4.32845459	0	2.2	NaN	11.7932	0	0	0	0	0	0	0	0
3	-4.32845459	0	2.2	NaN	11.7932	0	0	0	0	0	0	0	0
4	-4.32845459	0	2.2	NaN	11.7932	0	0	0	0	0	0	0	0
5	-4.32845459	0	2.2	NaN	11.7932	0	0	0	0	0	0	0	0
6	-4.32845459	0	2.2	NaN	11.7932	0	0	0	0	0	0	0	0
7	-4.32845459	0	2.2	NaN	11.7932	0	0	0	0	0	0	0	0
8	-4.32845459	0	2.2	NaN	11.7932	0	0	0	0	0	0	0	0
9	-4.32845459	0	2.18	NaN	11.7932	0	0	0	0	0	0	0	0
10	-4.32845459	0	2.16	NaN	11.7932	0	0	0	0	0	0	0	0
11	-4.32845459	0	2.14	NaN	11.7932	0	0	0	0	0	0	0	0
12	-4.32845459	0	2.11	NaN	11.7932	0	0	0	0	0	0	0	0
13	-4.32845459	0	2.1	NaN	11.7932	0	0	0	0	0	0	0	0
14	-4.32845459	0	2.08	NaN	11.7932	0	0	0	0	0	0	0	0
15	-4.32845459	0	2.05	NaN	11.7932	0	0	0	0	0	0	0	0
16	-4.32845459	0	2.02	NaN	11.7932	0	0	0	0	0	0	0	0
17	-4.32845459	0	2.01	NaN	11.7932	0	0	0	0	0	0	0	0
18	-4.32845459	0	1.99	NaN	11.7932	0	0	0	0	0	0	0	0
19	-4.32845459	0	1.96	NaN	11.7932	0	0	0	0	0	0	0	0
20	-4.32845459	0	1.94	NaN	11.7932	0	0	0	0	0	0	0	0
21	-4.32845459	0	1.91	NaN	11.7932	0	0	0	0	0	0	0	0
22	-4.32845459	0	1.89	NaN	11.7932	0	0	0	0	0	0	0	0
23	-4.32845459	0	1.85	NaN	11.7932	0	0	0	0	0	0	0	0
24	-3.01845462	0	1.83	NaN	11.7932	0	0	0	0	0	0	0	0
25	-3.01845462	0	1.8	NaN	11.7932	0	0	0	0	0	0	0	0
26	-3.01845462	0	1.78	NaN	11.7932	0	0	0	0	0	0	0	0
27	-3.01845462	0	1.75	NaN	11.7932	0	0	0	0	0	0	0	0
28	-3.01845462	0	1.72	NaN	11.7932	0	0	0	0	0	0	0	0
29	-3.01845462	0	1.7	NaN	11.7932	0	0	0	0	0	0	0	0
30	-3.01845462	0	1.67	NaN	11.7932	0	0	0	0	0	0	0	0
31	-3.01845462	0	1.65	NaN	11.7932	0	0	0	0	0	0	0	0
32	-3.01845462	0.01	1.62	NaN	11.7932	0	0	0	0	0	0	0	0
33	-3.01845462	0.01	1.6	NaN	11.7932	0	0	0	0	0	0	0	0
34	-3.01845462	0.01	1.57	NaN	11.7932	0	0	0	0	0	0	0	0
35	-3.01845462	0	1.55	NaN	11.7932	0	0	0	0	0	0	0	0
36	-3.01845462	0	1.52	NaN	11.7932	0	0	0	0	0	0	0	0
37	-3.01845462	0	1.5	NaN	11.7932	0	0	0	0	0	0	0	0
38	-3.01845462	0	1.47	NaN	11.7932	0	0	0	0	0	0	0	0
39	-3.01845462	0	1.45	NaN	11.7932	0	0	0	0	0	0	0	0
40	-3.01845462	0.01	1.43	NaN	11.7932	0	0	0	0	0	0	0	0
41	-3.01845462	0.22	1.42	NaN	11.7932	0	0	0	0	0	0	0	0
42	-3.01845462	0	1.39	NaN	11.7932	0	0	0	0	0	0	0	0
43	-3.01845462	0	1.38	NaN	11.7932	0	0	0	0	0	0	0	0
44	-3.01845462	0	1.37	NaN	11.7932	0	0	0	0	0	0	0	0
45	-3.01845462	0	1.34	NaN	11.7932	0	0	0	0	0	0	0	0
46	-3.01845462	0	1.33	NaN	11.7932	0	0	0	0	0	0	0	0
47	-3.01845462	0	1.31	NaN	11.7932	0	0	0	0	0	0	0	0
48	-7.14845453	0.06	1.3	NaN	11.7932	0	0	0	0	0.00766039553	0	0	0
49	-7.14845453	0.68	1.27	NaN	11.7932	0	0	0	0	0.010506163	0	0	0
50	-7.14845453	0.25	1.27	NaN	11.7932	0	0	0	0	0.0115636555	0	0	0
51	-7.14845453	0.3	1.25	NaN	11.7932	0	0	0	0	0.011956586	0	0	0
52	-7.14845453	0	1.23	NaN	11.7932	0	0	0	0	0.0121027127	0	0	0
53	-7.14845453	0	1.23	NaN	11.7932	0	0	0	0	0.0121574423	0	0	0
54	-7.14845453	0.99	1.21	NaN	11.7932	0	0	0	0	0.0121779643	0	0	0
55	-7.14845453	0.33	1.2	NaN	11.7932	0	0	0	0	0.0121856619	0	0	0
56	-7.14845453	1.24	1.19	NaN	11.7932	0	0	0	0	0.0121882363	0	0	0
57	-7.14845453	0.72	1.16	NaN	11.7932	0	0	0	0	0.0121895109	0	0	0
58	-7.14845453	0	1.16	NaN	11.7932	0	0	0	0	0.0121899944	0	0	0
59	-7.14845453	0	1.15	NaN	11.7932	0	0	0	0	0.0121901776	0	0	0
60	-7.14845453	0	1.14	NaN	11.7932	0	0	0	0	0.0121902466	0	0	0
61	-7.14845453	0	1.13	NaN	11.7932	0	0	0	0	0.0121902724	0	0	0
62	-7.14845453	0	1.12	NaN	11.7932	0	0	0	0	0.012190282	0	0	0
63	-7.14845453	0	1.09	NaN	11.7932	0	0	0	0	0.0121902856	0	0	0
64	-7.14845453	0	1.09	NaN	11.7932	0	0	0	0	0.0121902869	0	0	0
65	-7.14845453	0	1.08	NaN	11.7932	0	0	0	0	0.0121902873	0	0	0
66	-7.14845453	0	1.07	NaN	11.7932	0	0	0	0	0.0121902875	0	0	0
67	-7.14845453	0	1.06	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
68	-7.14845453	0	1.04	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
69	-7.14845453	0	1.04	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
70	-7.14845453	0	1.02	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
71	-7.14845453	0	1.02	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
72	-5.53845456	0	1	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
73	-5.53845456	0	0.99	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
74	-5.53845456	0	0.98	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
75	-5.53845456	0	0.96	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
76	-5.53845456	0	0.96	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
77	-5.53845456	0	0.95	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
78	-5.53845456	0	0.94	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
79	-5.53845456	0	0.93	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
80	-5.53845456	0	0.92	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
81	-5.53845456	0.01	0.91	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
82	-5.53845456	0	0.9	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
83	-5.53845456	0	0.89	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
84	-5.53845456	0.01	0.88	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
85	-5.53845456	0	0.87	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
86	-5.53845456	0	0.87	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
87	-5.53845456	0	0.87	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
88	-5.53845456	0	0.86	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
89	-5.53845456	0	0.85	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
90	-5.53845456	0	0.85	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
91	-5.53845456	0	0.83	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
92	-5.53845456	0	0.83	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
93	-5.53845456	0	0.83	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
94	-5.53845456	0	0.81	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
95	-5.53845456	0	0.81	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
96	-7.66845452	0	0.8	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
97	-7.66845452	0	0.8	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
98	-7.66845452	0	0.8	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
99	-7.66845452	0.01	0.78	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
100	-7.66845452	0.18	0.78	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
101	-7.66845452	0	0.78	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
102	-7.66845452	0.03	0.77	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
103	-7.66845452	0	0.76	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
104	-7.66845452	0	0.76	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
105	-7.66845452	0	0.75	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
106	-7.66845452	0	0.75	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
107	-7.66845452	0	0.75	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
108	-7.66845452	0	0.75	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
109	-7.66845452	0	0.73	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
110	-7.66845452	0	0.73	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
111	-7.66845452	0	0.73	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
112	-7.66845452	0	0.73	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
113	-7.66845452	0	0.72	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
114	-7.66845452	0	0.71	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
115	-7.66845452	0.01	0.71	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
116	-7.66845452	0.01	0.71	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
117	-7.66845452	0	0.7	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
118	-7.66845452	0.01	0.7	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
119	-7.66845452	0	0.7	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
120	-6.19845455	0.01	0.69	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
121	-6.19845455	0.01	0.68	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
122	-6.19845455	0	0.68	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
123	-6.19845455	0	0.68	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
124	-6.19845455	0	0.67	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
125	-6.19845455	0	0.67	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
126	-6.19845455	0.02	0.66	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
127	-6.19845455	0.02	0.65	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
128	-6.19845455	0.02	0.65	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
129	-6.19845455	0	0.64	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
130	-6.19845455	0	0.64	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
131	-6.19845455	0	0.64	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
132	-6.19845455	0	0.62	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
133	-6.19845455	0	0.62	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
134	-6.19845455	0	0.62	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
135	-6.19845455	0	0.62	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
136	-6.19845455	0	0.61	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
137	-6.19845455	0	0.61	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
138	-6.19845455	0	0.61	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
139	-6.19845455	0	0.6	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
140	-6.19845455	0	0.59	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
141	-6.19845455	0	0.59	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
142	-6.19845455	0	0.59	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
143	-6.19845455	0.03	0.58	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
144	-6.70845454	0	0.58	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
145	-6.70845454	0	0.58	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
146	-6.70845454	0	0.57	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
147	-6.70845454	0	0.56	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
