step	T	P	Q	Emptymeas	CalcC_atrazin_335604	Mstock	Mavail	Munavail	Fapplic	M_to_apply	T_sum	Fapplicgreen	M_green_to_apply
0	-1.38918344	0	0.02	NaN	0	0	0	0	0	0	0	0	0
1	-1.38918344	0.19	0.02	NaN	11.7932	0	0	0	0	0	0	0	0
2	-1.38918344	0	0.02	NaN	11.7932	0	0	0	0	0	0	0	0
3	-1.38918344	0	0.02	NaN	11.7932	0	0	0	0	0	0	0	0
4	-1.38918344	0	0.02	NaN	11.7932	0	0	0	0	0	0	0	0
5	-1.38918344	0	0.02	NaN	11.7932	0	0	0	0	0	0	0	0
6	-1.38918344	0.61	0.02	NaN	11.7932	0	0	0	0	0	0	0	0
7	-1.38918344	0.03	0.02	NaN	11.7932	0	0	0	0	0	0	0	0
8	-1.38918344	0.01	0.02	NaN	11.7932	0	0	0	0	0	0	0	0
9	-1.38918344	0	0.02	NaN	11.7932	0	0	0	0	0	0	0	0
10	-1.38918344	0	0.02	NaN	11.7932	0	0	0	0	0	0	0	0
11	-1.38918344	0	0.02	NaN	11.7932	0	0	0	0	0	0	0	0
12	-1.38918344	0	0.02	NaN	11.7932	0	0	0	0	0	0	0	0
13	-1.38918344	0	0.02	NaN	11.7932	0	0	0	0	0	0	0	0
14	-1.38918344	0	0.02	NaN	11.7932	0	0	0	0	0	0	0	0
15	-1.38918344	0	0.02	NaN	11.7932	0	0	0	0	0	0	0	0
16	-1.38918344	0	0.02	NaN	11.7932	0	0	0	0	0	0	0	0
17	-1.38918344	0	0.02	NaN	11.7932	0	0	0	0	0	0	0	0
18	-1.38918344	0	0.02	NaN	11.7932	0	0	0	0	0	0	0	0
19	-1.38918344	0	0.02	NaN	11.7932	0	0	0	0	0	0	0	0
20	-1.38918344	0	0.02	NaN	11.7932	0	0	0	0	0	0	0	0
21	-1.38918344	0	0.02	NaN	11.7932	0	0	0	0	0	0	0	0
22	-1.38918344	0.2	0.02	NaN	11.7932	0	0	0	0	0	0	0	0
23	-1.38918344	0.23	0.02	NaN	11.7932	0	0	0	0	0	0	0	0
24	-1.60918343	0.48	0.02	NaN	11.7932	0	0	0	0	0	0	0	0
25	-1.60918343	0.93	0.02	NaN	11.7932	0	0	0	0	0	0	0	0
26	-1.60918343	0.25	0.02	NaN	11.7932	0	0	0	0	0	0	0	0
27	-1.60918343	0	0.02	NaN	11.7932	0	0	0	0	0	0	0	0
28	-1.60918343	0	0.02	NaN	11.7932	0	0	0	0	0	0	0	0
29	-1.60918343	0	0.02	NaN	11.7932	0	0	0	0	0	0	0	0
30	-1.60918343	0	0.02	NaN	11.7932	0	0	0	0	0	0	0	0
31	-1.60918343	0	0.02	NaN	11.7932	0	0	0	0	0	0	0	0
32	-1.60918343	0	0.02	NaN	11.7932	0	0	0	0	0	0	0	0
33	-1.60918343	0	0.02	NaN	11.7932	0	0	0	0	0	0	0	0
34	-1.60918343	0	0.02	NaN	11.7932	0	0	0	0	0	0	0	0
35	-1.60918343	0	0.02	NaN	11.7932	0	0	0	0	0	0	0	0
36	-1.60918343	0	0.02	NaN	11.7932	0	0	0	0	0	0	0	0
37	-1.60918343	0	0.02	NaN	11.7932	0	0	0	0	0	0	0	0
38	-1.60918343	0	0.02	NaN	11.7932	0	0	0	0	0	0	0	0
39	-1.60918343	0	0.02	NaN	11.7932	0	0	0	0	0	0	0	0
40	-1.60918343	0	0.02	NaN	11.7932	0	0	0	0	0	0	0	0
41	-1.60918343	0	0.02	NaN	11.7932	0	0	0	0	0	0	0	0
42	-1.60918343	0	0.02	NaN	11.7932	0	0	0	0	0	0	0	0
43	-1.60918343	0.09	0.02	NaN	11.7932	0	0	0	0	0	0	0	0
44	-1.60918343	0.08	0.02	NaN	11.7932	0	0	0	0	0	0	0	0
45	-1.60918343	0	0.02	NaN	11.7932	0	0	0	0	0	0	0	0
46	-1.60918343	0	0.02	NaN	11.7932	0	0	0	0	0	0	0	0
47	-1.60918343	0	0.02	NaN	11.7932	0	0	0	0	0	0	0	0
48	-5.25918335	0	0.02	NaN	11.7932	0	0	0	0	0.00766039553	0	0	0
49	-5.25918335	0	0.02	NaN	11.7932	0	0	0	0	0.010506163	0	0	0
50	-5.25918335	0	0.02	NaN	11.7932	0	0	0	0	0.0115636555	0	0	0
51	-5.25918335	0	0.02	NaN	11.7932	0	0	0	0	0.011956586	0	0	0
52	-5.25918335	0.05	0.02	NaN	11.7932	0	0	0	0	0.0121027127	0	0	0
53	-5.25918335	1.03	0.02	NaN	11.7932	0	0	0	0	0.0121574423	0	0	0
54	-5.25918335	0.03	0.02	NaN	11.7932	0	0	0	0	0.0121779643	0	0	0
55	-5.25918335	0.09	0.02	NaN	11.7932	0	0	0	0	0.0121856619	0	0	0
56	-5.25918335	0.01	0.02	NaN	11.7932	0	0	0	0	0.0121882363	0	0	0
57	-5.25918335	0	0.02	NaN	11.7932	0	0	0	0	0.0121895109	0	0	0
58	-5.25918335	0	0.01	NaN	11.7932	0	0	0	0	0.0121899944	0	0	0
59	-5.25918335	0	0.01	NaN	11.7932	0	0	0	0	0.0121901776	0	0	0
60	-5.25918335	0.13	0.01	NaN	11.7932	0	0	0	0	0.0121902466	0	0	0
61	-5.25918335	0.09	0.01	NaN	11.7932	0	0	0	0	0.0121902724	0	0	0
62	-5.25918335	0.31	0.01	NaN	11.7932	0	0	0	0	0.012190282	0	0	0
63	-5.25918335	0.42	0.01	NaN	11.7932	0	0	0	0	0.0121902856	0	0	0
64	-5.25918335	0	0.01	NaN	11.7932	0	0	0	0	0.0121902869	0	0	0
65	-5.25918335	0	0.01	NaN	11.7932	0	0	0	0	0.0121902873	0	0	0
66	-5.25918335	0	0.01	NaN	11.7932	0	0	0	0	0.0121902875	0	0	0
67	-5.25918335	0	0.01	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
