step	T	P	Q	Emptymeas
0	-2.7513443748756896	0.0	0.19	N/A
1	-2.7513443748756896	0.0	0.19	N/A
2	-2.7513443748756896	0.0	0.19	N/A
3	-2.7513443748756896	0.0	0.18	N/A
4	-2.7513443748756896	0.01	0.18	N/A
5	-2.7513443748756896	0.33	0.18	N/A
6	-2.7513443748756896	0.32	0.18	N/A
7	-2.7513443748756896	0.08	0.17	N/A
8	-2.7513443748756896	0.0	0.17	N/A
9	-2.7513443748756896	0.0	0.17	N/A
10	-2.7513443748756896	0.0	0.16	N/A
11	-2.7513443748756896	0.0	0.16	N/A
12	-2.7513443748756896	0.0	0.16	N/A
13	-2.7513443748756896	0.05	0.15	N/A
14	-2.7513443748756896	0.0	0.15	N/A
15	-2.7513443748756896	0.0	0.15	N/A
16	-2.7513443748756896	0.0	0.14	N/A
17	-2.7513443748756896	0.0	0.14	N/A
18	-2.7513443748756896	0.0	0.14	N/A
19	-2.7513443748756896	0.0	0.13	N/A
20	-2.7513443748756896	0.0	0.13	N/A
21	-2.7513443748756896	0.0	0.13	N/A
22	-2.7513443748756896	0.0	0.12	N/A
23	-2.7513443748756896	0.18	0.12	N/A
24	-2.54416293087978	0.09	0.12	N/A
25	-2.54416293087978	0.06	0.12	N/A
26	-2.54416293087978	0.0	0.12	N/A
27	-2.54416293087978	0.0	0.11	N/A
28	-2.54416293087978	0.0	0.11	N/A
29	-2.54416293087978	0.0	0.11	N/A
30	-2.54416293087978	0.0	0.11	N/A
31	-2.54416293087978	0.0	0.11	N/A
32	-2.54416293087978	0.0	0.11	N/A
33	-2.54416293087978	0.0	0.11	N/A
34	-2.54416293087978	0.0	0.1	N/A
35	-2.54416293087978	0.0	0.1	N/A
36	-2.54416293087978	0.0	0.1	N/A
37	-2.54416293087978	0.0	0.1	N/A
38	-2.54416293087978	0.0	0.1	N/A
39	-2.54416293087978	0.0	0.1	N/A
40	-2.54416293087978	0.0	0.1	N/A
41	-2.54416293087978	0.0	0.09	N/A
42	-2.54416293087978	0.0	0.09	N/A
43	-2.54416293087978	0.0	0.09	N/A
44	-2.54416293087978	0.0	0.09	N/A
45	-2.54416293087978	0.0	0.09	N/A
46	-2.54416293087978	0.0	0.09	N/A
47	-2.54416293087978	0.0	0.09	N/A
48	-6.66385334229103	0.0	0.08	N/A
49	-6.66385334229103	0.0	0.08	N/A
50	-6.66385334229103	0.0	0.08	N/A
51	-6.66385334229103	0.0	0.08	N/A
52	-6.66385334229103	0.08	0.08	N/A
53	-6.66385334229103	0.0	0.08	N/A
54	-6.66385334229103	0.21	0.08	N/A
55	-6.66385334229103	0.0	0.08	N/A
56	-6.66385334229103	0.0	0.08	N/A
57	-6.66385334229103	0.22	0.08	N/A
58	-6.66385334229103	0.2	0.08	N/A
59	-6.66385334229103	0.0	0.08	N/A
60	-6.66385334229103	0.0	0.08	N/A
61	-6.66385334229103	0.0	0.08	N/A
62	-6.66385334229103	0.0	0.07	N/A
63	-6.66385334229103	0.0	0.07	N/A
64	-6.66385334229103	0.0	0.07	N/A
65	-6.66385334229103	0.0	0.07	N/A
66	-6.66385334229103	0.0	0.07	N/A
67	-6.66385334229103	0.0	0.07	N/A
68	-6.66385334229103	0.0	0.07	N/A
69	-6.66385334229103	0.0	0.07	N/A
70	-6.66385334229103	0.0	0.07	N/A
71	-6.66385334229103	0.0	0.07	N/A
72	-8.770030853698549	0.0	0.07	N/A
73	-8.770030853698549	0.0	0.07	N/A
74	-8.770030853698549	0.0	0.07	N/A
75	-8.770030853698549	0.0	0.07	N/A
76	-8.770030853698549	0.0	0.07	N/A
77	-8.770030853698549	0.0	0.07	N/A
78	-8.770030853698549	0.0	0.07	N/A
79	-8.770030853698549	0.0	0.06	N/A
80	-8.770030853698549	0.0	0.06	N/A
81	-8.770030853698549	0.0	0.06	N/A
82	-8.770030853698549	0.0	0.06	N/A
83	-8.770030853698549	0.0	0.06	N/A
84	-8.770030853698549	0.0	0.06	N/A
85	-8.770030853698549	0.0	0.06	N/A
86	-8.770030853698549	0.0	0.06	N/A
87	-8.770030853698549	0.0	0.06	N/A
88	-8.770030853698549	0.0	0.06	N/A
89	-8.770030853698549	0.0	0.06	N/A
90	-8.770030853698549	0.0	0.06	N/A
91	-8.770030853698549	0.0	0.06	N/A
92	-8.770030853698549	0.0	0.06	N/A
93	-8.770030853698549	0.0	0.06	N/A
94	-8.770030853698549	0.0	0.06	N/A
95	-8.770030853698549	0.0	0.06	N/A
96	-7.18794536917356	0.0	0.06	N/A
