step	T	P	Q	Emptymeas	CalcC_atrazin_338622	Mstock	Mavail	Munavail	Fapplic	M_to_apply	T_sum	Fapplicgreen	M_green_to_apply
0	-2.75134437	0	0.19	NaN	0	0	0	0	0	0	0	0	0
1	-2.75134437	0	0.19	NaN	11.7932	0	0	0	0	0	0	0	0
2	-2.75134437	0	0.19	NaN	11.7932	0	0	0	0	0	0	0	0
3	-2.75134437	0	0.18	NaN	11.7932	0	0	0	0	0	0	0	0
4	-2.75134437	0.01	0.18	NaN	11.7932	0	0	0	0	0	0	0	0
5	-2.75134437	0.33	0.18	NaN	11.7932	0	0	0	0	0	0	0	0
6	-2.75134437	0.32	0.18	NaN	11.7932	0	0	0	0	0	0	0	0
7	-2.75134437	0.08	0.17	NaN	11.7932	0	0	0	0	0	0	0	0
8	-2.75134437	0	0.17	NaN	11.7932	0	0	0	0	0	0	0	0
9	-2.75134437	0	0.17	NaN	11.7932	0	0	0	0	0	0	0	0
10	-2.75134437	0	0.16	NaN	11.7932	0	0	0	0	0	0	0	0
11	-2.75134437	0	0.16	NaN	11.7932	0	0	0	0	0	0	0	0
12	-2.75134437	0	0.16	NaN	11.7932	0	0	0	0	0	0	0	0
13	-2.75134437	0.05	0.15	NaN	11.7932	0	0	0	0	0	0	0	0
14	-2.75134437	0	0.15	NaN	11.7932	0	0	0	0	0	0	0	0
15	-2.75134437	0	0.15	NaN	11.7932	0	0	0	0	0	0	0	0
16	-2.75134437	0	0.14	NaN	11.7932	0	0	0	0	0	0	0	0
17	-2.75134437	0	0.14	NaN	11.7932	0	0	0	0	0	0	0	0
18	-2.75134437	0	0.14	NaN	11.7932	0	0	0	0	0	0	0	0
19	-2.75134437	0	0.13	NaN	11.7932	0	0	0	0	0	0	0	0
20	-2.75134437	0	0.13	NaN	11.7932	0	0	0	0	0	0	0	0
21	-2.75134437	0	0.13	NaN	11.7932	0	0	0	0	0	0	0	0
22	-2.75134437	0	0.12	NaN	11.7932	0	0	0	0	0	0	0	0
23	-2.75134437	0.18	0.12	NaN	11.7932	0	0	0	0	0	0	0	0
24	-2.54416293	0.09	0.12	NaN	11.7932	0	0	0	0	0	0	0	0
25	-2.54416293	0.06	0.12	NaN	11.7932	0	0	0	0	0	0	0	0
26	-2.54416293	0	0.12	NaN	11.7932	0	0	0	0	0	0	0	0
27	-2.54416293	0	0.11	NaN	11.7932	0	0	0	0	0	0	0	0
28	-2.54416293	0	0.11	NaN	11.7932	0	0	0	0	0	0	0	0
29	-2.54416293	0	0.11	NaN	11.7932	0	0	0	0	0	0	0	0
30	-2.54416293	0	0.11	NaN	11.7932	0	0	0	0	0	0	0	0
31	-2.54416293	0	0.11	NaN	11.7932	0	0	0	0	0	0	0	0
32	-2.54416293	0	0.11	NaN	11.7932	0	0	0	0	0	0	0	0
33	-2.54416293	0	0.11	NaN	11.7932	0	0	0	0	0	0	0	0
34	-2.54416293	0	0.1	NaN	11.7932	0	0	0	0	0	0	0	0
35	-2.54416293	0	0.1	NaN	11.7932	0	0	0	0	0	0	0	0
36	-2.54416293	0	0.1	NaN	11.7932	0	0	0	0	0	0	0	0
37	-2.54416293	0	0.1	NaN	11.7932	0	0	0	0	0	0	0	0
38	-2.54416293	0	0.1	NaN	11.7932	0	0	0	0	0	0	0	0
39	-2.54416293	0	0.1	NaN	11.7932	0	0	0	0	0	0	0	0
40	-2.54416293	0	0.1	NaN	11.7932	0	0	0	0	0	0	0	0
41	-2.54416293	0	0.09	NaN	11.7932	0	0	0	0	0	0	0	0
42	-2.54416293	0	0.09	NaN	11.7932	0	0	0	0	0	0	0	0
43	-2.54416293	0	0.09	NaN	11.7932	0	0	0	0	0	0	0	0
44	-2.54416293	0	0.09	NaN	11.7932	0	0	0	0	0	0	0	0
45	-2.54416293	0	0.09	NaN	11.7932	0	0	0	0	0	0	0	0
46	-2.54416293	0	0.09	NaN	11.7932	0	0	0	0	0	0	0	0
47	-2.54416293	0	0.09	NaN	11.7932	0	0	0	0	0	0	0	0
48	-6.66385334	0	0.08	NaN	11.7932	0	0	0	0	0.00766039553	0	0	0
49	-6.66385334	0	0.08	NaN	11.7932	0	0	0	0	0.010506163	0	0	0
50	-6.66385334	0	0.08	NaN	11.7932	0	0	0	0	0.0115636555	0	0	0
51	-6.66385334	0	0.08	NaN	11.7932	0	0	0	0	0.011956586	0	0	0
52	-6.66385334	0.08	0.08	NaN	11.7932	0	0	0	0	0.0121027127	0	0	0
53	-6.66385334	0	0.08	NaN	11.7932	0	0	0	0	0.0121574423	0	0	0
54	-6.66385334	0.21	0.08	NaN	11.7932	0	0	0	0	0.0121779643	0	0	0
55	-6.66385334	0	0.08	NaN	11.7932	0	0	0	0	0.0121856619	0	0	0
56	-6.66385334	0	0.08	NaN	11.7932	0	0	0	0	0.0121882363	0	0	0
57	-6.66385334	0.22	0.08	NaN	11.7932	0	0	0	0	0.0121895109	0	0	0
58	-6.66385334	0.2	0.08	NaN	11.7932	0	0	0	0	0.0121899944	0	0	0
59	-6.66385334	0	0.08	NaN	11.7932	0	0	0	0	0.0121901776	0	0	0
60	-6.66385334	0	0.08	NaN	11.7932	0	0	0	0	0.0121902466	0	0	0
61	-6.66385334	0	0.08	NaN	11.7932	0	0	0	0	0.0121902724	0	0	0
62	-6.66385334	0	0.07	NaN	11.7932	0	0	0	0	0.012190282	0	0	0
63	-6.66385334	0	0.07	NaN	11.7932	0	0	0	0	0.0121902856	0	0	0
64	-6.66385334	0	0.07	NaN	11.7932	0	0	0	0	0.0121902869	0	0	0
65	-6.66385334	0	0.07	NaN	11.7932	0	0	0	0	0.0121902873	0	0	0
66	-6.66385334	0	0.07	NaN	11.7932	0	0	0	0	0.0121902875	0	0	0
67	-6.66385334	0	0.07	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
68	-6.66385334	0	0.07	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
69	-6.66385334	0	0.07	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
70	-6.66385334	0	0.07	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
71	-6.66385334	0	0.07	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
72	-8.77003085	0	0.07	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
73	-8.77003085	0	0.07	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
74	-8.77003085	0	0.07	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
75	-8.77003085	0	0.07	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
76	-8.77003085	0	0.07	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
77	-8.77003085	0	0.07	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
78	-8.77003085	0	0.07	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
79	-8.77003085	0	0.06	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
80	-8.77003085	0	0.06	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
81	-8.77003085	0	0.06	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
82	-8.77003085	0	0.06	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
83	-8.77003085	0	0.06	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
84	-8.77003085	0	0.06	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
85	-8.77003085	0	0.06	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
86	-8.77003085	0	0.06	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
87	-8.77003085	0	0.06	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
88	-8.77003085	0	0.06	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
89	-8.77003085	0	0.06	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
90	-8.77003085	0	0.06	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
91	-8.77003085	0	0.06	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
92	-8.77003085	0	0.06	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
93	-8.77003085	0	0.06	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
94	-8.77003085	0	0.06	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
95	-8.77003085	0	0.06	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
96	-7.18794537	0	0.06	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
97	-7.18794537	0	0.06	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
98	-7.18794537	0	0.06	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
99	-7.18794537	0	0.06	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
100	-7.18794537	0	0.06	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
101	-7.18794537	0	0.06	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
102	-7.18794537	0	0.06	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
103	-7.18794537	0	0.06	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
104	-7.18794537	0	0.06	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
105	-7.18794537	0	0.06	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
106	-7.18794537	0	0.06	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
107	-7.18794537	0	0.06	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
108	-7.18794537	0	0.06	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
109	-7.18794537	0	0.06	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
110	-7.18794537	0	0.06	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
111	-7.18794537	0	0.06	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
112	-7.18794537	0	0.05	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
113	-7.18794537	0	0.05	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
114	-7.18794537	0	0.05	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
115	-7.18794537	0	0.05	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
116	-7.18794537	0	0.05	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
117	-7.18794537	0	0.05	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
118	-7.18794537	0	0.05	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
119	-7.18794537	0	0.05	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
120	-5.24852471	0	0.05	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
121	-5.24852471	0	0.05	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
122	-5.24852471	0	0.05	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
123	-5.24852471	0	0.05	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
124	-5.24852471	0	0.05	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
125	-5.24852471	0	0.05	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
126	-5.24852471	0	0.05	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
127	-5.24852471	0	0.05	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
128	-5.24852471	0	0.05	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
129	-5.24852471	0	0.05	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
130	-5.24852471	0	0.05	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
131	-5.24852471	0	0.05	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
132	-5.24852471	0	0.05	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
133	-5.24852471	0	0.05	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
134	-5.24852471	0	0.05	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
135	-5.24852471	0	0.05	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
136	-5.24852471	0	0.05	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
137	-5.24852471	0	0.05	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
138	-5.24852471	0	0.05	NaN	11.7932	0	0	0	0	0.0121902876	0	0	0
