step	T	P	Q	Emptymeas
0	-1.38918343647311	0.0	0.02	N/A
1	-1.38918343647311	0.19	0.02	N/A
2	-1.38918343647311	0.0	0.02	N/A
3	-1.38918343647311	0.0	0.02	N/A
4	-1.38918343647311	0.0	0.02	N/A
5	-1.38918343647311	0.0	0.02	N/A
6	-1.38918343647311	0.61	0.02	N/A
7	-1.38918343647311	0.03	0.02	N/A
8	-1.38918343647311	0.01	0.02	N/A
9	-1.38918343647311	0.0	0.02	N/A
10	-1.38918343647311	0.0	0.02	N/A
11	-1.38918343647311	0.0	0.02	N/A
12	-1.38918343647311	0.0	0.02	N/A
13	-1.38918343647311	0.0	0.02	N/A
14	-1.38918343647311	0.0	0.02	N/A
15	-1.38918343647311	0.0	0.02	N/A
16	-1.38918343647311	0.0	0.02	N/A
17	-1.38918343647311	0.0	0.02	N/A
18	-1.38918343647311	0.0	0.02	N/A
19	-1.38918343647311	0.0	0.02	N/A
20	-1.38918343647311	0.0	0.02	N/A
21	-1.38918343647311	0.0	0.02	N/A
22	-1.38918343647311	0.2	0.02	N/A
23	-1.38918343647311	0.23	0.02	N/A
24	-1.60918343155573	0.48	0.02	N/A
25	-1.60918343155573	0.93	0.02	N/A
26	-1.60918343155573	0.25	0.02	N/A
27	-1.60918343155573	0.0	0.02	N/A
28	-1.60918343155573	0.0	0.02	N/A
29	-1.60918343155573	0.0	0.02	N/A
30	-1.60918343155573	0.0	0.02	N/A
31	-1.60918343155573	0.0	0.02	N/A
32	-1.60918343155573	0.0	0.02	N/A
33	-1.60918343155573	0.0	0.02	N/A
34	-1.60918343155573	0.0	0.02	N/A
35	-1.60918343155573	0.0	0.02	N/A
36	-1.60918343155573	0.0	0.02	N/A
37	-1.60918343155573	0.0	0.02	N/A
38	-1.60918343155573	0.0	0.02	N/A
39	-1.60918343155573	0.0	0.02	N/A
40	-1.60918343155573	0.0	0.02	N/A
41	-1.60918343155573	0.0	0.02	N/A
42	-1.60918343155573	0.0	0.02	N/A
43	-1.60918343155573	0.09	0.02	N/A
44	-1.60918343155573	0.08	0.02	N/A
45	-1.60918343155573	0.0	0.02	N/A
46	-1.60918343155573	0.0	0.02	N/A
47	-1.60918343155573	0.0	0.02	N/A
48	-5.25918334997187	0.0	0.02	N/A
49	-5.25918334997187	0.0	0.02	N/A
50	-5.25918334997187	0.0	0.02	N/A
51	-5.25918334997187	0.0	0.02	N/A
52	-5.25918334997187	0.05	0.02	N/A
53	-5.25918334997187	1.03	0.02	N/A
54	-5.25918334997187	0.03	0.02	N/A
55	-5.25918334997187	0.09	0.02	N/A
56	-5.25918334997187	0.01	0.02	N/A
57	-5.25918334997187	0.0	0.02	N/A
58	-5.25918334997187	0.0	0.01	N/A
59	-5.25918334997187	0.0	0.01	N/A
60	-5.25918334997187	0.13	0.01	N/A
61	-5.25918334997187	0.09	0.01	N/A
62	-5.25918334997187	0.31	0.01	N/A
63	-5.25918334997187	0.42	0.01	N/A
64	-5.25918334997187	0.0	0.01	N/A
65	-5.25918334997187	0.0	0.01	N/A
66	-5.25918334997187	0.0	0.01	N/A
67	-5.25918334997187	0.0	0.01	N/A
68	-5.25918334997187	0.0	0.01	N/A
69	-5.25918334997187	0.0	0.01	N/A
70	-5.25918334997187	0.0	0.01	N/A
71	-5.25918334997187	0.0	0.01	N/A
72	-8.47918327799926	0.0	0.01	N/A
73	-8.47918327799926	0.0	0.01	N/A
74	-8.47918327799926	0.0	0.01	N/A
75	-8.47918327799926	0.0	0.01	N/A
76	-8.47918327799926	0.0	0.01	N/A
77	-8.47918327799926	0.0	0.01	N/A
78	-8.47918327799926	0.0	0.01	N/A
79	-8.47918327799926	0.0	0.01	N/A
80	-8.47918327799926	0.0	0.01	N/A
81	-8.47918327799926	0.06	0.01	N/A
82	-8.47918327799926	0.0	0.01	N/A
83	-8.47918327799926	0.0	0.01	N/A
84	-8.47918327799926	0.0	0.01	N/A
85	-8.47918327799926	0.0	0.01	N/A
86	-8.47918327799926	0.07	0.01	N/A
87	-8.47918327799926	0.0	0.01	N/A
88	-8.47918327799926	0.0	0.01	N/A
89	-8.47918327799926	0.0	0.01	N/A
90	-8.47918327799926	0.0	0.01	N/A
91	-8.47918327799926	0.0	0.01	N/A
92	-8.47918327799926	0.0	0.01	N/A
93	-8.47918327799926	0.0	0.01	N/A
94	-8.47918327799926	0.0	0.01	N/A
95	-8.47918327799926	0.0	0.01	N/A
96	-6.839183314656121	0.0	0.01	N/A
97	-6.839183314656121	0.0	0.01	N/A
98	-6.839183314656121	0.0	0.01	N/A
99	-6.839183314656121	0.0	0.01	N/A
100	-6.839183314656121	0.0	0.01	N/A
101	-6.839183314656121	0.0	0.01	N/A
102	-6.839183314656121	0.0	0.01	N/A
103	-6.839183314656121	0.0	0.01	N/A
104	-6.839183314656121	0.0	0.01	N/A
105	-6.839183314656121	0.0	0.01	N/A
106	-6.839183314656121	0.0	0.01	N/A
107	-6.839183314656121	0.0	0.01	N/A
108	-6.839183314656121	0.0	0.01	N/A
109	-6.839183314656121	0.0	0.01	N/A
110	-6.839183314656121	0.0	0.01	N/A
111	-6.839183314656121	0.0	0.01	N/A
112	-6.839183314656121	0.0	0.01	N/A
113	-6.839183314656121	0.0	0.01	N/A
114	-6.839183314656121	0.0	0.01	N/A
115	-6.839183314656121	0.0	0.01	N/A
116	-6.839183314656121	0.0	0.01	N/A
117	-6.839183314656121	0.0	0.01	N/A
118	-6.839183314656121	0.0	0.01	N/A
119	-6.839183314656121	0.0	0.01	N/A
120	-4.76918336092423	0.0	0.01	N/A
121	-4.76918336092423	0.0	0.01	N/A
122	-4.76918336092423	0.0	0.01	N/A
123	-4.76918336092423	0.0	0.01	N/A
124	-4.76918336092423	0.0	0.01	N/A
125	-4.76918336092423	0.0	0.01	N/A
126	-4.76918336092423	0.0	0.01	N/A
127	-4.76918336092423	0.0	0.01	N/A
128	-4.76918336092423	0.0	0.01	N/A
129	-4.76918336092423	0.0	0.01	N/A
130	-4.76918336092423	0.0	0.01	N/A
131	-4.76918336092423	0.0	0.01	N/A
132	-4.76918336092423	0.0	0.01	N/A
133	-4.76918336092423	0.0	0.01	N/A
134	-4.76918336092423	0.0	0.01	N/A
135	-4.76918336092423	0.0	0.01	N/A
136	-4.76918336092423	0.0	0.01	N/A
137	-4.76918336092423	0.0	0.01	N/A
138	-4.76918336092423	0.0	0.01	N/A
139	-4.76918336092423	0.0	0.01	N/A
140	-4.76918336092423	0.0	0.01	N/A
141	-4.76918336092423	0.0	0.01	N/A
142	-4.76918336092423	0.0	0.01	N/A
143	-4.76918336092423	0.0	0.01	N/A
144	-3.8091833823819	0.0	0.01	N/A
145	-3.8091833823819	0.09	0.01	N/A
146	-3.8091833823819	0.0	0.01	N/A
147	-3.8091833823819	0.0	0.01	N/A
148	-3.8091833823819	0.1	0.01	N/A
149	-3.8091833823819	0.21	0.01	N/A
150	-3.8091833823819	0.24	0.01	N/A
151	-3.8091833823819	0.03	0.01	N/A
152	-3.8091833823819	0.0	0.01	N/A
