step	T	P	Q	Emptymeas
0	-1.3356101170980001	0.0	0.32	N/A
1	-1.3356101170980001	0.0	0.32	N/A
2	-1.3356101170980001	0.0	0.32	N/A
3	-1.3356101170980001	0.0	0.32	N/A
4	-1.3356101170980001	0.0	0.32	N/A
5	-1.3356101170980001	0.0	0.32	N/A
6	-1.3356101170980001	0.0	0.31	N/A
7	-1.3356101170980001	0.0	0.31	N/A
8	-1.3356101170980001	0.0	0.31	N/A
9	-1.3356101170980001	0.0	0.3	N/A
10	-1.3356101170980001	0.0	0.29	N/A
11	-1.3356101170980001	0.0	0.29	N/A
12	-1.3356101170980001	0.0	0.29	N/A
13	-1.3356101170980001	0.0	0.28	N/A
14	-1.3356101170980001	0.0	0.28	N/A
15	-1.3356101170980001	0.0	0.27	N/A
16	-1.3356101170980001	0.0	0.27	N/A
17	-1.3356101170980001	0.0	0.27	N/A
18	-1.3356101170980001	0.0	0.26	N/A
19	-1.3356101170980001	0.0	0.26	N/A
20	-1.3356101170980001	0.0	0.26	N/A
21	-1.3356101170980001	0.0	0.25	N/A
22	-1.3356101170980001	0.0	0.25	N/A
23	-1.3356101170980001	0.0	0.24	N/A
24	-0.0356101461552612	0.0	0.24	N/A
25	-0.0356101461552612	0.0	0.24	N/A
26	-0.0356101461552612	0.0	0.23	N/A
27	-0.0356101461552612	0.0	0.23	N/A
28	-0.0356101461552612	0.0	0.22	N/A
29	-0.0356101461552612	0.0	0.22	N/A
30	-0.0356101461552612	0.0	0.22	N/A
31	-0.0356101461552612	0.0	0.22	N/A
32	-0.0356101461552612	0.0	0.22	N/A
33	-0.0356101461552612	0.0	0.22	N/A
34	-0.0356101461552612	0.0	0.21	N/A
35	-0.0356101461552612	0.0	0.21	N/A
36	-0.0356101461552612	0.0	0.21	N/A
37	-0.0356101461552612	0.0	0.21	N/A
38	-0.0356101461552612	0.0	0.2	N/A
39	-0.0356101461552612	0.0	0.2	N/A
40	-0.0356101461552612	0.0	0.2	N/A
41	-0.0356101461552612	0.0	0.2	N/A
42	-0.0356101461552612	0.0	0.2	N/A
43	-0.0356101461552612	0.0	0.2	N/A
44	-0.0356101461552612	0.0	0.19	N/A
45	-0.0356101461552612	0.0	0.19	N/A
46	-0.0356101461552612	0.0	0.19	N/A
47	-0.0356101461552612	0.0	0.18	N/A
48	-5.10561003283193	0.0	0.18	N/A
49	-5.10561003283193	0.0	0.18	N/A
50	-5.10561003283193	0.0	0.17	N/A
51	-5.10561003283193	0.2	0.17	N/A
52	-5.10561003283193	0.0	0.17	N/A
53	-5.10561003283193	0.0	0.16	N/A
54	-5.10561003283193	0.0	0.16	N/A
55	-5.10561003283193	0.0	0.16	N/A
56	-5.10561003283193	0.0	0.15	N/A
57	-5.10561003283193	0.0	0.15	N/A
