step	T	P	Q	Emptymeas	CalcC_atrazin_340327	Mstock	Mavail	Munavail	Fapplic	M_to_apply	T_sum	Fapplicgreen	M_green_to_apply
0	-4.08804541	0	0.05	NaN	0	0	0	0	0	0	0	0	0
1	-4.08804541	0	0.05	NaN	11.7932	0	0	0	0	0	0	0	0
2	-4.08804541	0	0.05	NaN	11.7932	0	0	0	0	0	0	0	0
3	-4.08804541	0	0.05	NaN	11.7932	0	0	0	0	0	0	0	0
4	-4.08804541	0	0.05	NaN	11.7932	0	0	0	0	0	0	0	0
5	-4.08804541	0	0.05	NaN	11.7932	0	0	0	0	0	0	0	0
6	-4.08804541	0	0.05	NaN	11.7932	0	0	0	0	0	0	0	0
7	-4.08804541	0	0.05	NaN	11.7932	0	0	0	0	0	0	0	0
8	-4.08804541	0	0.05	NaN	11.7932	0	0	0	0	0	0	0	0
9	-4.08804541	0	0.04	NaN	11.7932	0	0	0	0	0	0	0	0
10	-4.08804541	0	0.04	NaN	11.7932	0	0	0	0	0	0	0	0
11	-4.08804541	0	0.04	NaN	11.7932	0	0	0	0	0	0	0	0
12	-4.08804541	0	0.04	NaN	11.7932	0	0	0	0	0	0	0	0
13	-4.08804541	0	0.04	NaN	11.7932	0	0	0	0	0	0	0	0
14	-4.08804541	0	0.04	NaN	11.7932	0	0	0	0	0	0	0	0
15	-4.08804541	0	0.04	NaN	11.7932	0	0	0	0	0	0	0	0
16	-4.08804541	0	0.04	NaN	11.7932	0	0	0	0	0	0	0	0
17	-4.08804541	0	0.04	NaN	11.7932	0	0	0	0	0	0	0	0
18	-4.08804541	0	0.04	NaN	11.7932	0	0	0	0	0	0	0	0
19	-4.08804541	0	0.04	NaN	11.7932	0	0	0	0	0	0	0	0
20	-4.08804541	0	0.04	NaN	11.7932	0	0	0	0	0	0	0	0
21	-4.08804541	0	0.04	NaN	11.7932	0	0	0	0	0	0	0	0
22	-4.08804541	0	0.04	NaN	11.7932	0	0	0	0	0	0	0	0
23	-4.08804541	0	0.04	NaN	11.7932	0	0	0	0	0	0	0	0
24	-3.08804543	0.01	0.04	NaN	11.7932	0	0	0	0	0	0	0	0
25	-3.08804543	0	0.04	NaN	11.7932	0	0	0	0	0	0	0	0
26	-3.08804543	0	0.04	NaN	11.7932	0	0	0	0	0	0	0	0
27	-3.08804543	0	0.04	NaN	11.7932	0	0	0	0	0	0	0	0
28	-3.08804543	0	0.04	NaN	11.7932	0	0	0	0	0	0	0	0
29	-3.08804543	0	0.04	NaN	11.7932	0	0	0	0	0	0	0	0
30	-3.08804543	0	0.04	NaN	11.7932	0	0	0	0	0	0	0	0
31	-3.08804543	0	0.04	NaN	11.7932	0	0	0	0	0	0	0	0
32	-3.08804543	0	0.04	NaN	11.7932	0	0	0	0	0	0	0	0
33	-3.08804543	0	0.04	NaN	11.7932	0	0	0	0	0	0	0	0
34	-3.08804543	0	0.04	NaN	11.7932	0	0	0	0	0	0	0	0
