step	T	P	Q	Emptymeas	CalcC_atrazin_346358	Mstock	Mavail	Munavail	Fapplic	M_to_apply	T_sum	Fapplicgreen	M_green_to_apply
0	-1.33561012	0	0.32	NaN	0	0	0	0	0	0	0	0	0
1	-1.33561012	0	0.32	NaN	11.7932	0	0	0	0	0	0	0	0
2	-1.33561012	0	0.32	NaN	11.7932	0	0	0	0	0	0	0	0
3	-1.33561012	0	0.32	NaN	11.7932	0	0	0	0	0	0	0	0
4	-1.33561012	0	0.32	NaN	11.7932	0	0	0	0	0	0	0	0
5	-1.33561012	0	0.32	NaN	11.7932	0	0	0	0	0	0	0	0
6	-1.33561012	0	0.31	NaN	11.7932	0	0	0	0	0	0	0	0
7	-1.33561012	0	0.31	NaN	11.7932	0	0	0	0	0	0	0	0
8	-1.33561012	0	0.31	NaN	11.7932	0	0	0	0	0	0	0	0
9	-1.33561012	0	0.3	NaN	11.7932	0	0	0	0	0	0	0	0
10	-1.33561012	0	0.29	NaN	11.7932	0	0	0	0	0	0	0	0
11	-1.33561012	0	0.29	NaN	11.7932	0	0	0	0	0	0	0	0
12	-1.33561012	0	0.29	NaN	11.7932	0	0	0	0	0	0	0	0
13	-1.33561012	0	0.28	NaN	11.7932	0	0	0	0	0	0	0	0
14	-1.33561012	0	0.28	NaN	11.7932	0	0	0	0	0	0	0	0
15	-1.33561012	0	0.27	NaN	11.7932	0	0	0	0	0	0	0	0
16	-1.33561012	0	0.27	NaN	11.7932	0	0	0	0	0	0	0	0
17	-1.33561012	0	0.27	NaN	11.7932	0	0	0	0	0	0	0	0
18	-1.33561012	0	0.26	NaN	11.7932	0	0	0	0	0	0	0	0
19	-1.33561012	0	0.26	NaN	11.7932	0	0	0	0	0	0	0	0
20	-1.33561012	0	0.26	NaN	11.7932	0	0	0	0	0	0	0	0
21	-1.33561012	0	0.25	NaN	11.7932	0	0	0	0	0	0	0	0
22	-1.33561012	0	0.25	NaN	11.7932	0	0	0	0	0	0	0	0
23	-1.33561012	0	0.24	NaN	11.7932	0	0	0	0	0	0	0	0
24	-0.0356101462	0	0.24	NaN	11.7932	0	0	0	0	0	0	0	0
25	-0.0356101462	0	0.24	NaN	11.7932	0	0	0	0	0	0	0	0
26	-0.0356101462	0	0.23	NaN	11.7932	0	0	0	0	0	0	0	0
27	-0.0356101462	0	0.23	NaN	11.7932	0	0	0	0	0	0	0	0
28	-0.0356101462	0	0.22	NaN	11.7932	0	0	0	0	0	0	0	0
29	-0.0356101462	0	0.22	NaN	11.7932	0	0	0	0	0	0	0	0
30	-0.0356101462	0	0.22	NaN	11.7932	0	0	0	0	0	0	0	0
31	-0.0356101462	0	0.22	NaN	11.7932	0	0	0	0	0	0	0	0
32	-0.0356101462	0	0.22	NaN	11.7932	0	0	0	0	0	0	0	0
33	-0.0356101462	0	0.22	NaN	11.7932	0	0	0	0	0	0	0	0
34	-0.0356101462	0	0.21	NaN	11.7932	0	0	0	0	0	0	0	0
35	-0.0356101462	0	0.21	NaN	11.7932	0	0	0	0	0	0	0	0
36	-0.0356101462	0	0.21	NaN	11.7932	0	0	0	0	0	0	0	0
37	-0.0356101462	0	0.21	NaN	11.7932	0	0	0	0	0	0	0	0
38	-0.0356101462	0	0.2	NaN	11.7932	0	0	0	0	0	0	0	0
39	-0.0356101462	0	0.2	NaN	11.7932	0	0	0	0	0	0	0	0
40	-0.0356101462	0	0.2	NaN	11.7932	0	0	0	0	0	0	0	0
