step	T	P	Q	Emptymeas
0	-2.3440698965166	0.0	0.21	N/A
1	-2.3440698965166	0.0	0.21	N/A
2	-2.3440698965166	0.0	0.2	N/A
3	-2.3440698965166	0.0	0.2	N/A
4	-2.3440698965166	0.0	0.2	N/A
5	-2.3440698965166	0.0	0.19	N/A
6	-2.3440698965166	0.0	0.19	N/A
7	-2.3440698965166	0.0	0.19	N/A
8	-2.3440698965166	0.0	0.18	N/A
9	-2.3440698965166	0.0	0.18	N/A
10	-2.3440698965166	0.0	0.18	N/A
11	-2.3440698965166	0.0	0.17	N/A
12	-2.3440698965166	0.0	0.17	N/A
13	-2.3440698965166	0.0	0.17	N/A
14	-2.3440698965166	0.0	0.17	N/A
15	-2.3440698965166	0.0	0.16	N/A
16	-2.3440698965166	0.0	0.16	N/A
17	-2.3440698965166	0.0	0.16	N/A
18	-2.3440698965166	0.0	0.15	N/A
19	-2.3440698965166	0.0	0.15	N/A
20	-2.3440698965166	0.0	0.15	N/A
21	-2.3440698965166	0.03	0.14	N/A
22	-2.3440698965166	0.0	0.14	N/A
23	-2.3440698965166	0.0	0.14	N/A
24	-1.7140699105982	0.0	0.13	N/A
25	-1.7140699105982	0.0	0.13	N/A
26	-1.7140699105982	0.0	0.13	N/A
27	-1.7140699105982	0.0	0.13	N/A
28	-1.7140699105982	0.0	0.13	N/A
29	-1.7140699105982	0.0	0.13	N/A
30	-1.7140699105982	0.0	0.13	N/A
31	-1.7140699105982	0.0	0.13	N/A
32	-1.7140699105982	0.0	0.12	N/A
33	-1.7140699105982	0.0	0.12	N/A
34	-1.7140699105982	0.0	0.12	N/A
35	-1.7140699105982	0.0	0.12	N/A
36	-1.7140699105982	0.0	0.12	N/A
37	-1.7140699105982	0.0	0.12	N/A
38	-1.7140699105982	0.0	0.12	N/A
39	-1.7140699105982	0.0	0.12	N/A
40	-1.7140699105982	0.0	0.12	N/A
41	-1.7140699105982	0.0	0.11	N/A
42	-1.7140699105982	0.0	0.11	N/A
43	-1.7140699105982	0.0	0.11	N/A
44	-1.7140699105982	0.0	0.11	N/A
45	-1.7140699105982	0.0	0.11	N/A
46	-1.7140699105982	0.0	0.11	N/A
47	-1.7140699105982	0.0	0.11	N/A
48	-6.04406981381515	0.0	0.11	N/A
49	-6.04406981381515	0.0	0.11	N/A
50	-6.04406981381515	0.1	0.1	N/A
51	-6.04406981381515	0.0	0.1	N/A
52	-6.04406981381515	0.0	0.1	N/A
53	-6.04406981381515	0.0	0.1	N/A
54	-6.04406981381515	0.0	0.1	N/A
55	-6.04406981381515	0.0	0.1	N/A
56	-6.04406981381515	0.0	0.1	N/A
57	-6.04406981381515	0.06	0.1	N/A
58	-6.04406981381515	0.0	0.1	N/A
59	-6.04406981381515	0.0	0.1	N/A
60	-6.04406981381515	0.0	0.1	N/A
61	-6.04406981381515	0.0	0.1	N/A
62	-6.04406981381515	0.0	0.1	N/A
63	-6.04406981381515	0.0	0.1	N/A
64	-6.04406981381515	0.0	0.1	N/A
65	-6.04406981381515	0.0	0.1	N/A
66	-6.04406981381515	0.0	0.09	N/A
67	-6.04406981381515	0.0	0.09	N/A
68	-6.04406981381515	0.0	0.09	N/A
69	-6.04406981381515	0.0	0.09	N/A
70	-6.04406981381515	0.0	0.09	N/A
71	-6.04406981381515	0.0	0.09	N/A
72	-6.94406979369859	0.0	0.09	N/A
73	-6.94406979369859	0.0	0.09	N/A
74	-6.94406979369859	0.0	0.09	N/A
75	-6.94406979369859	0.0	0.09	N/A
76	-6.94406979369859	0.0	0.09	N/A
77	-6.94406979369859	0.0	0.09	N/A
78	-6.94406979369859	0.0	0.09	N/A
79	-6.94406979369859	0.0	0.09	N/A
80	-6.94406979369859	0.0	0.09	N/A
81	-6.94406979369859	0.0	0.09	N/A
82	-6.94406979369859	0.0	0.09	N/A
83	-6.94406979369859	0.0	0.09	N/A
84	-6.94406979369859	0.0	0.09	N/A
85	-6.94406979369859	0.0	0.09	N/A
86	-6.94406979369859	0.0	0.09	N/A
87	-6.94406979369859	0.0	0.09	N/A
88	-6.94406979369859	0.0	0.08	N/A
89	-6.94406979369859	0.0	0.08	N/A
90	-6.94406979369859	0.0	0.08	N/A
91	-6.94406979369859	0.0	0.08	N/A
92	-6.94406979369859	0.0	0.08	N/A
93	-6.94406979369859	0.0	0.08	N/A
94	-6.94406979369859	0.0	0.08	N/A
95	-6.94406979369859	0.0	0.08	N/A
96	-6.51406980330983	0.0	0.08	N/A
97	-6.51406980330983	0.0	0.08	N/A
98	-6.51406980330983	0.0	0.08	N/A
99	-6.51406980330983	0.0	0.08	N/A
100	-6.51406980330983	0.0	0.08	N/A
101	-6.51406980330983	0.0	0.08	N/A
102	-6.51406980330983	0.0	0.08	N/A
103	-6.51406980330983	0.0	0.08	N/A
104	-6.51406980330983	0.01	0.08	N/A
105	-6.51406980330983	0.0	0.08	N/A
106	-6.51406980330983	0.23	0.08	N/A
107	-6.51406980330983	0.0	0.08	N/A
108	-6.51406980330983	0.0	0.08	N/A
109	-6.51406980330983	0.0	0.08	N/A
110	-6.51406980330983	0.0	0.08	N/A
111	-6.51406980330983	0.0	0.08	N/A
112	-6.51406980330983	0.0	0.08	N/A
113	-6.51406980330983	0.0	0.08	N/A
114	-6.51406980330983	0.0	0.08	N/A
115	-6.51406980330983	0.0	0.08	N/A
116	-6.51406980330983	0.0	0.08	N/A
117	-6.51406980330983	0.0	0.08	N/A
118	-6.51406980330983	0.0	0.08	N/A
119	-6.51406980330983	0.0	0.08	N/A
120	-3.7540698650006403	0.0	0.08	N/A
121	-3.7540698650006403	0.0	0.08	N/A
122	-3.7540698650006403	0.0	0.08	N/A
123	-3.7540698650006403	0.0	0.08	N/A
124	-3.7540698650006403	0.0	0.08	N/A
125	-3.7540698650006403	0.0	0.08	N/A
