step	T	P	Q	Emptymeas
0	-3.2001859186528905	0.06	0.64	N/A
1	-3.2001859186528905	0.53	0.63	N/A
2	-3.2001859186528905	0.0	0.62	N/A
3	-3.2001859186528905	0.0	0.62	N/A
4	-3.2001859186528905	0.0	0.61	N/A
5	-3.2001859186528905	0.03	0.61	N/A
6	-3.2001859186528905	0.0	0.6	N/A
7	-3.2001859186528905	0.0	0.59	N/A
8	-3.2001859186528905	0.0	0.59	N/A
9	-3.2001859186528905	0.0	0.58	N/A
10	-3.2001859186528905	0.0	0.57	N/A
11	-3.2001859186528905	0.0	0.55	N/A
12	-3.2001859186528905	0.0	0.54	N/A
13	-3.2001859186528905	0.0	0.53	N/A
14	-3.2001859186528905	0.0	0.52	N/A
15	-3.2001859186528905	0.0	0.5	N/A
16	-3.2001859186528905	0.0	0.49	N/A
17	-3.2001859186528905	0.07	0.47	N/A
18	-3.2001859186528905	0.04	0.45	N/A
19	-3.2001859186528905	0.06	0.44	N/A
20	-3.2001859186528905	0.0	0.42	N/A
21	-3.2001859186528905	0.0	0.4	N/A
22	-3.2001859186528905	0.0	0.39	N/A
23	-3.2001859186528905	0.0	0.38	N/A
24	-2.15018593909352	0.0	0.38	N/A
25	-2.15018593909352	0.0	0.37	N/A
26	-2.15018593909352	0.0	0.36	N/A
27	-2.15018593909352	0.0	0.34	N/A
28	-2.15018593909352	0.0	0.33	N/A
29	-2.15018593909352	0.0	0.32	N/A
30	-2.15018593909352	0.0	0.31	N/A
31	-2.15018593909352	0.0	0.3	N/A
32	-2.15018593909352	0.0	0.3	N/A
33	-2.15018593909352	0.0	0.29	N/A
34	-2.15018593909352	0.0	0.29	N/A
35	-2.15018593909352	0.0	0.28	N/A
36	-2.15018593909352	0.0	0.28	N/A
37	-2.15018593909352	0.0	0.28	N/A
38	-2.15018593909352	0.0	0.27	N/A
39	-2.15018593909352	0.0	0.27	N/A
40	-2.15018593909352	0.0	0.26	N/A
41	-2.15018593909352	0.0	0.26	N/A
42	-2.15018593909352	0.0	0.26	N/A
43	-2.15018593909352	0.0	0.26	N/A
44	-2.15018593909352	0.0	0.25	N/A
45	-2.15018593909352	0.0	0.25	N/A
46	-2.15018593909352	0.0	0.25	N/A
47	-2.15018593909352	0.0	0.25	N/A
48	-5.090328580589	0.0	0.24	N/A
49	-5.090328580589	0.0	0.24	N/A
50	-5.090328580589	0.0	0.24	N/A
51	-5.090328580589	0.0	0.23	N/A
52	-5.090328580589	0.0	0.23	N/A
53	-5.090328580589	0.0	0.22	N/A
54	-5.090328580589	0.0	0.22	N/A
55	-5.090328580589	0.0	0.22	N/A
56	-5.090328580589	0.0	0.21	N/A
57	-5.090328580589	0.0	0.21	N/A
58	-5.090328580589	0.24	0.21	N/A
59	-5.090328580589	0.65	0.21	N/A
60	-5.090328580589	0.13	0.21	N/A
61	-5.090328580589	0.21	0.21	N/A
62	-5.090328580589	0.1	0.2	N/A
63	-5.090328580589	0.1	0.2	N/A
64	-5.090328580589	0.0	0.2	N/A
65	-5.090328580589	0.0	0.2	N/A
66	-5.090328580589	0.0	0.2	N/A
67	-5.090328580589	0.04	0.19	N/A
68	-5.090328580589	0.07	0.19	N/A
69	-5.090328580589	1.1	0.19	N/A
70	-5.090328580589	0.0	0.19	N/A
71	-5.090328580589	0.0	0.19	N/A
72	-6.76992899144215	0.0	0.18	N/A
73	-6.76992899144215	0.0	0.18	N/A
74	-6.76992899144215	0.0	0.18	N/A
75	-6.76992899144215	0.0	0.18	N/A
76	-6.76992899144215	0.0	0.18	N/A
77	-6.76992899144215	0.0	0.18	N/A
78	-6.76992899144215	0.0	0.18	N/A
79	-6.76992899144215	0.0	0.17	N/A
80	-6.76992899144215	0.0	0.17	N/A
81	-6.76992899144215	0.0	0.17	N/A
82	-6.76992899144215	0.0	0.17	N/A
83	-6.76992899144215	0.0	0.17	N/A
