step	T	P	Q	Emptymeas
0	-3.0818672080573704	0.0	0.1	N/A
1	-3.0818672080573704	0.0	0.1	N/A
2	-3.0818672080573704	0.0	0.1	N/A
3	-3.0818672080573704	0.0	0.09	N/A
4	-3.0818672080573704	0.0	0.09	N/A
5	-3.0818672080573704	0.0	0.09	N/A
6	-3.0818672080573704	0.0	0.09	N/A
7	-3.0818672080573704	0.0	0.08	N/A
8	-3.0818672080573704	0.0	0.08	N/A
9	-3.0818672080573704	0.0	0.08	N/A
10	-3.0818672080573704	0.0	0.08	N/A
11	-3.0818672080573704	0.0	0.08	N/A
12	-3.0818672080573704	0.0	0.07	N/A
13	-3.0818672080573704	0.0	0.07	N/A
14	-3.0818672080573704	0.0	0.07	N/A
15	-3.0818672080573704	0.0	0.07	N/A
16	-3.0818672080573704	0.0	0.08	N/A
17	-3.0818672080573704	0.0	0.08	N/A
18	-3.0818672080573704	0.0	0.08	N/A
19	-3.0818672080573704	0.0	0.08	N/A
20	-3.0818672080573704	0.0	0.08	N/A
21	-3.0818672080573704	0.0	0.08	N/A
22	-3.0818672080573704	0.0	0.08	N/A
23	-3.0818672080573704	0.0	0.08	N/A
24	-2.17346248594058	0.0	0.08	N/A
25	-2.17346248594058	0.0	0.08	N/A
26	-2.17346248594058	0.29	0.08	N/A
27	-2.17346248594058	0.0	0.08	N/A
28	-2.17346248594058	0.09	0.08	N/A
29	-2.17346248594058	1.07	0.08	N/A
30	-2.17346248594058	0.6	0.08	N/A
31	-2.17346248594058	0.0	0.07	N/A
32	-2.17346248594058	0.0	0.07	N/A
33	-2.17346248594058	0.0	0.07	N/A
34	-2.17346248594058	0.0	0.06	N/A
35	-2.17346248594058	0.0	0.07	N/A
36	-2.17346248594058	0.0	0.07	N/A
37	-2.17346248594058	0.0	0.07	N/A
38	-2.17346248594058	0.0	0.07	N/A
39	-2.17346248594058	0.0	0.07	N/A
40	-2.17346248594058	0.0	0.07	N/A
41	-2.17346248594058	0.0	0.07	N/A
42	-2.17346248594058	0.0	0.07	N/A
43	-2.17346248594058	0.0	0.07	N/A
44	-2.17346248594058	0.0	0.06	N/A
45	-2.17346248594058	0.0	0.06	N/A
46	-2.17346248594058	0.0	0.06	N/A
47	-2.17346248594058	0.0	0.06	N/A
48	-4.512074000823469	0.0	0.06	N/A
49	-4.512074000823469	0.0	0.06	N/A
50	-4.512074000823469	0.0	0.06	N/A
51	-4.512074000823469	0.0	0.06	N/A
52	-4.512074000823469	0.0	0.06	N/A
53	-4.512074000823469	0.0	0.06	N/A
54	-4.512074000823469	0.0	0.06	N/A
55	-4.512074000823469	0.0	0.06	N/A
56	-4.512074000823469	0.0	0.06	N/A
57	-4.512074000823469	0.0	0.06	N/A
58	-4.512074000823469	0.0	0.06	N/A
59	-4.512074000823469	0.0	0.06	N/A
60	-4.512074000823469	0.0	0.06	N/A
61	-4.512074000823469	0.0	0.06	N/A
62	-4.512074000823469	0.0	0.06	N/A
63	-4.512074000823469	0.0	0.06	N/A
64	-4.512074000823469	0.0	0.06	N/A
65	-4.512074000823469	0.0	0.06	N/A
66	-4.512074000823469	0.0	0.06	N/A
67	-4.512074000823469	0.0	0.06	N/A
68	-4.512074000823469	0.0	0.06	N/A
69	-4.512074000823469	0.09	0.06	N/A
70	-4.512074000823469	0.0	0.06	N/A
71	-4.512074000823469	0.0	0.06	N/A
72	-5.28438825513145	0.0	0.06	N/A
73	-5.28438825513145	0.0	0.06	N/A
74	-5.28438825513145	0.0	0.05	N/A
75	-5.28438825513145	0.0	0.05	N/A
76	-5.28438825513145	0.0	0.05	N/A
77	-5.28438825513145	0.0	0.05	N/A
78	-5.28438825513145	0.0	0.05	N/A
79	-5.28438825513145	0.0	0.05	N/A
80	-5.28438825513145	0.0	0.05	N/A
81	-5.28438825513145	0.0	0.05	N/A
82	-5.28438825513145	0.0	0.05	N/A
83	-5.28438825513145	0.0	0.05	N/A
84	-5.28438825513145	0.0	0.05	N/A
85	-5.28438825513145	0.0	0.05	N/A
86	-5.28438825513145	0.0	0.06	N/A
87	-5.28438825513145	0.0	0.05	N/A
88	-5.28438825513145	0.0	0.05	N/A
89	-5.28438825513145	0.0	0.05	N/A
90	-5.28438825513145	0.0	0.05	N/A
91	-5.28438825513145	0.0	0.05	N/A
92	-5.28438825513145	0.0	0.05	N/A
93	-5.28438825513145	0.0	0.05	N/A
94	-5.28438825513145	0.0	0.05	N/A
95	-5.28438825513145	0.0	0.05	N/A
96	-4.795939626558269	0.0	0.05	N/A
97	-4.795939626558269	0.0	0.05	N/A
98	-4.795939626558269	0.0	0.05	N/A
99	-4.795939626558269	0.0	0.05	N/A
100	-4.795939626558269	0.0	0.05	N/A
101	-4.795939626558269	0.0	0.05	N/A
102	-4.795939626558269	0.0	0.05	N/A
103	-4.795939626558269	0.0	0.05	N/A
104	-4.795939626558269	0.0	0.05	N/A
105	-4.795939626558269	0.0	0.05	N/A
106	-4.795939626558269	0.0	0.05	N/A
107	-4.795939626558269	0.0	0.05	N/A
108	-4.795939626558269	0.0	0.05	N/A
109	-4.795939626558269	0.0	0.05	N/A
110	-4.795939626558269	0.0	0.05	N/A
111	-4.795939626558269	0.0	0.05	N/A
112	-4.795939626558269	0.0	0.05	N/A
113	-4.795939626558269	0.0	0.05	N/A
114	-4.795939626558269	0.0	0.05	N/A
115	-4.795939626558269	0.0	0.05	N/A
116	-4.795939626558269	0.0	0.05	N/A
117	-4.795939626558269	0.22	0.05	N/A
118	-4.795939626558269	0.0	0.05	N/A
119	-4.795939626558269	0.0	0.05	N/A
120	-3.2426733794753395	0.0	0.05	N/A
121	-3.2426733794753395	0.0	0.05	N/A
122	-3.2426733794753395	0.0	0.05	N/A
123	-3.2426733794753395	0.0	0.05	N/A
124	-3.2426733794753395	0.0	0.05	N/A
125	-3.2426733794753395	0.0	0.05	N/A
126	-3.2426733794753395	0.0	0.05	N/A
127	-3.2426733794753395	0.0	0.05	N/A
128	-3.2426733794753395	0.0	0.05	N/A
129	-3.2426733794753395	0.06	0.05	N/A
130	-3.2426733794753395	0.0	0.05	N/A
131	-3.2426733794753395	0.0	0.05	N/A
132	-3.2426733794753395	0.0	0.05	N/A
133	-3.2426733794753395	0.0	0.05	N/A
134	-3.2426733794753395	0.0	0.05	N/A
135	-3.2426733794753395	0.0	0.05	N/A
136	-3.2426733794753395	0.0	0.05	N/A
137	-3.2426733794753395	0.0	0.05	N/A
138	-3.2426733794753395	0.0	0.05	N/A
139	-3.2426733794753395	0.0	0.05	N/A
140	-3.2426733794753395	0.0	0.05	N/A
141	-3.2426733794753395	0.0	0.05	N/A
142	-3.2426733794753395	0.0	0.05	N/A
143	-3.2426733794753395	0.0	0.05	N/A
144	-4.01251287397335	0.0	0.05	N/A
145	-4.01251287397335	0.0	0.04	N/A
146	-4.01251287397335	0.0	0.04	N/A
147	-4.01251287397335	0.0	0.04	N/A
148	-4.01251287397335	0.0	0.04	N/A
149	-4.01251287397335	0.0	0.04	N/A
150	-4.01251287397335	0.0	0.04	N/A
151	-4.01251287397335	0.0	0.04	N/A
152	-4.01251287397335	0.0	0.04	N/A
153	-4.01251287397335	0.0	0.04	N/A
154	-4.01251287397335	0.0	0.04	N/A
155	-4.01251287397335	0.0	0.04	N/A
156	-4.01251287397335	0.0	0.04	N/A
157	-4.01251287397335	0.0	0.04	N/A
158	-4.01251287397335	0.0	0.04	N/A
159	-4.01251287397335	0.0	0.04	N/A
160	-4.01251287397335	0.0	0.04	N/A
161	-4.01251287397335	0.0	0.05	N/A
162	-4.01251287397335	0.0	0.04	N/A
163	-4.01251287397335	0.0	0.04	N/A
164	-4.01251287397335	0.0	0.04	N/A
165	-4.01251287397335	0.0	0.04	N/A
166	-4.01251287397335	0.0	0.04	N/A
167	-4.01251287397335	0.0	0.04	N/A
168	-5.1502003552923705	0.0	0.04	N/A
169	-5.1502003552923705	0.0	0.04	N/A
170	-5.1502003552923705	0.0	0.04	N/A
171	-5.1502003552923705	0.0	0.04	N/A
172	-5.1502003552923705	0.0	0.04	N/A
173	-5.1502003552923705	0.0	0.04	N/A
174	-5.1502003552923705	0.0	0.04	N/A
175	-5.1502003552923705	0.0	0.04	N/A
176	-5.1502003552923705	0.0	0.04	N/A
177	-5.1502003552923705	0.0	0.04	N/A
178	-5.1502003552923705	0.0	0.04	N/A
179	-5.1502003552923705	0.0	0.04	N/A
180	-5.1502003552923705	0.0	0.04	N/A
181	-5.1502003552923705	0.0	0.04	N/A
182	-5.1502003552923705	0.0	0.04	N/A
183	-5.1502003552923705	0.0	0.04	N/A
184	-5.1502003552923705	0.13	0.04	N/A
185	-5.1502003552923705	0.14	0.04	N/A
186	-5.1502003552923705	0.83	0.04	N/A
187	-5.1502003552923705	0.65	0.04	N/A
188	-5.1502003552923705	0.73	0.04	N/A
189	-5.1502003552923705	0.89	0.04	N/A
190	-5.1502003552923705	0.4	0.04	N/A
191	-5.1502003552923705	1.0	0.04	N/A
192	-4.256495380452391	0.76	0.04	N/A
193	-4.256495380452391	0.75	0.04	N/A
194	-4.256495380452391	0.78	0.04	N/A
195	-4.256495380452391	0.09	0.04	N/A
196	-4.256495380452391	0.0	0.04	N/A
197	-4.256495380452391	0.0	0.04	N/A
198	-4.256495380452391	0.0	0.04	N/A
199	-4.256495380452391	0.0	0.04	N/A
200	-4.256495380452391	0.0	0.04	N/A
201	-4.256495380452391	0.0	0.04	N/A
202	-4.256495380452391	0.0	0.04	N/A
203	-4.256495380452391	0.0	0.04	N/A
204	-4.256495380452391	0.0	0.04	N/A
205	-4.256495380452391	0.0	0.04	N/A
206	-4.256495380452391	0.0	0.04	N/A
207	-4.256495380452391	0.0	0.04	N/A
208	-4.256495380452391	0.0	0.04	N/A
209	-4.256495380452391	0.0	0.04	N/A
210	-4.256495380452391	0.0	0.04	N/A
211	-4.256495380452391	0.0	0.04	N/A
212	-4.256495380452391	0.0	0.04	N/A
213	-4.256495380452391	0.0	0.04	N/A
214	-4.256495380452391	0.0	0.04	N/A
215	-4.256495380452391	0.25	0.04	N/A
216	-3.74792981661267	0.37	0.04	N/A
217	-3.74792981661267	0.25	0.04	N/A
218	-3.74792981661267	0.0	0.04	N/A
219	-3.74792981661267	0.0	0.04	N/A
220	-3.74792981661267	0.0	0.04	N/A
221	-3.74792981661267	0.0	0.04	N/A
222	-3.74792981661267	0.0	0.04	N/A
223	-3.74792981661267	0.0	0.04	N/A
224	-3.74792981661267	0.0	0.04	N/A
225	-3.74792981661267	0.0	0.04	N/A
226	-3.74792981661267	0.0	0.04	N/A
227	-3.74792981661267	0.0	0.04	N/A
228	-3.74792981661267	0.0	0.04	N/A
229	-3.74792981661267	0.0	0.04	N/A
230	-3.74792981661267	0.0	0.04	N/A
231	-3.74792981661267	0.0	0.04	N/A
232	-3.74792981661267	0.0	0.04	N/A
233	-3.74792981661267	0.0	0.04	N/A
234	-3.74792981661267	0.0	0.04	N/A
235	-3.74792981661267	0.0	0.04	N/A
236	-3.74792981661267	0.0	0.04	N/A
237	-3.74792981661267	0.0	0.04	N/A
238	-3.74792981661267	0.0	0.04	N/A
239	-3.74792981661267	0.0	0.04	N/A
240	-3.1479292713895295	0.0	0.04	N/A
241	-3.1479292713895295	0.0	0.04	N/A
242	-3.1479292713895295	0.0	0.04	N/A
243	-3.1479292713895295	0.0	0.04	N/A
244	-3.1479292713895295	0.0	0.04	N/A
245	-3.1479292713895295	0.0	0.04	N/A
246	-3.1479292713895295	0.0	0.04	N/A
247	-3.1479292713895295	0.1	0.04	N/A
248	-3.1479292713895295	0.0	0.04	N/A
249	-3.1479292713895295	0.0	0.04	N/A
250	-3.1479292713895295	0.0	0.04	N/A
251	-3.1479292713895295	0.0	0.03	N/A
252	-3.1479292713895295	0.04	0.04	N/A
253	-3.1479292713895295	0.0	0.04	N/A
254	-3.1479292713895295	0.0	0.04	N/A
255	-3.1479292713895295	0.0	0.04	N/A
256	-3.1479292713895295	0.0	0.04	N/A
257	-3.1479292713895295	0.0	0.04	N/A
258	-3.1479292713895295	0.37	0.04	N/A
259	-3.1479292713895295	0.19	0.04	N/A
260	-3.1479292713895295	0.01	0.04	N/A
261	-3.1479292713895295	0.0	0.04	N/A
262	-3.1479292713895295	0.0	0.04	N/A
263	-3.1479292713895295	0.0	0.04	N/A
264	-3.0137130306831605	0.0	0.04	N/A
265	-3.0137130306831605	0.0	0.04	N/A
266	-3.0137130306831605	0.0	0.04	N/A
267	-3.0137130306831605	0.0	0.04	N/A
268	-3.0137130306831605	0.0	0.04	N/A
269	-3.0137130306831605	0.0	0.04	N/A
270	-3.0137130306831605	0.0	0.04	N/A
271	-3.0137130306831605	0.0	0.03	N/A
272	-3.0137130306831605	0.0	0.03	N/A
273	-3.0137130306831605	0.0	0.04	N/A
274	-3.0137130306831605	0.0	0.04	N/A
275	-3.0137130306831605	0.0	0.04	N/A
276	-3.0137130306831605	0.0	0.04	N/A
