step	T	P	Q	Emptymeas
0	-4.11067101761498	0.0	0.32	N/A
1	-4.11067101761498	0.0	0.32	N/A
2	-4.11067101761498	0.0	0.31	N/A
3	-4.11067101761498	0.0	0.31	N/A
4	-4.11067101761498	0.0	0.3	N/A
5	-4.11067101761498	0.0	0.3	N/A
6	-4.11067101761498	0.0	0.29	N/A
7	-4.11067101761498	0.0	0.29	N/A
8	-4.11067101761498	0.0	0.28	N/A
9	-4.11067101761498	0.0	0.27	N/A
10	-4.11067101761498	0.0	0.27	N/A
11	-4.11067101761498	0.02	0.26	N/A
12	-4.11067101761498	0.0	0.26	N/A
13	-4.11067101761498	0.0	0.25	N/A
14	-4.11067101761498	0.0	0.25	N/A
15	-4.11067101761498	0.0	0.24	N/A
16	-4.11067101761498	0.0	0.24	N/A
17	-4.11067101761498	0.0	0.23	N/A
18	-4.11067101761498	0.0	0.23	N/A
19	-4.11067101761498	0.0	0.22	N/A
20	-4.11067101761498	0.0	0.22	N/A
21	-4.11067101761498	0.0	0.21	N/A
22	-4.11067101761498	0.0	0.21	N/A
23	-4.11067101761498	0.0	0.2	N/A
24	-3.8306710238734705	0.0	0.19	N/A
25	-3.8306710238734705	0.0	0.19	N/A
26	-3.8306710238734705	0.0	0.19	N/A
27	-3.8306710238734705	0.02	0.19	N/A
28	-3.8306710238734705	0.0	0.18	N/A
29	-3.8306710238734705	0.02	0.18	N/A
30	-3.8306710238734705	0.02	0.18	N/A
31	-3.8306710238734705	0.0	0.17	N/A
32	-3.8306710238734705	0.02	0.17	N/A
33	-3.8306710238734705	0.0	0.17	N/A
34	-3.8306710238734705	0.0	0.17	N/A
35	-3.8306710238734705	0.0	0.16	N/A
36	-3.8306710238734705	0.0	0.16	N/A
37	-3.8306710238734705	0.0	0.16	N/A
38	-3.8306710238734705	0.02	0.15	N/A
39	-3.8306710238734705	0.02	0.15	N/A
40	-3.8306710238734705	0.18	0.15	N/A
41	-3.8306710238734705	0.21	0.15	N/A
42	-3.8306710238734705	0.34	0.14	N/A
43	-3.8306710238734705	0.0	0.14	N/A
44	-3.8306710238734705	0.0	0.14	N/A
45	-3.8306710238734705	0.0	0.13	N/A
46	-3.8306710238734705	0.0	0.13	N/A
47	-3.8306710238734705	0.0	0.13	N/A
48	-7.51067094161906	0.0	0.13	N/A
49	-7.51067094161906	0.25	0.12	N/A
50	-7.51067094161906	0.49	0.12	N/A
51	-7.51067094161906	0.48	0.12	N/A
52	-7.51067094161906	1.57	0.12	N/A
53	-7.51067094161906	0.06	0.12	N/A
54	-7.51067094161906	0.05	0.12	N/A
55	-7.51067094161906	0.67	0.11	N/A
56	-7.51067094161906	1.08	0.11	N/A
57	-7.51067094161906	0.14	0.11	N/A
58	-7.51067094161906	0.0	0.11	N/A
59	-7.51067094161906	0.0	0.11	N/A
60	-7.51067094161906	0.02	0.11	N/A
61	-7.51067094161906	0.0	0.11	N/A
62	-7.51067094161906	0.0	0.1	N/A
63	-7.51067094161906	0.0	0.1	N/A
64	-7.51067094161906	0.06	0.1	N/A
65	-7.51067094161906	0.0	0.1	N/A
66	-7.51067094161906	0.21	0.1	N/A
67	-7.51067094161906	0.15	0.1	N/A
68	-7.51067094161906	0.0	0.09	N/A
69	-7.51067094161906	0.0	0.09	N/A
70	-7.51067094161906	0.08	0.09	N/A
71	-7.51067094161906	0.58	0.09	N/A
72	-6.16067097179391	1.03	0.09	N/A
73	-6.16067097179391	1.07	0.09	N/A
74	-6.16067097179391	0.74	0.09	N/A
75	-6.16067097179391	1.27	0.09	N/A
76	-6.16067097179391	0.11	0.08	N/A
77	-6.16067097179391	0.1	0.08	N/A
78	-6.16067097179391	0.68	0.08	N/A
79	-6.16067097179391	1.16	0.08	N/A
80	-6.16067097179391	0.4	0.08	N/A
81	-6.16067097179391	0.11	0.08	N/A
82	-6.16067097179391	1.3	0.08	N/A
83	-6.16067097179391	0.3	0.08	N/A
84	-6.16067097179391	0.21	0.08	N/A
85	-6.16067097179391	0.22	0.08	N/A
86	-6.16067097179391	0.24	0.08	N/A
87	-6.16067097179391	0.0	0.07	N/A
88	-6.16067097179391	0.0	0.07	N/A
89	-6.16067097179391	0.11	0.07	N/A
90	-6.16067097179391	0.25	0.07	N/A
91	-6.16067097179391	0.14	0.07	N/A
92	-6.16067097179391	0.16	0.07	N/A
93	-6.16067097179391	0.07	0.07	N/A
94	-6.16067097179391	0.17	0.07	N/A
95	-6.16067097179391	0.39	0.07	N/A
96	-7.7606709360311195	0.41	0.07	N/A
97	-7.7606709360311195	0.16	0.06	N/A
98	-7.7606709360311195	0.09	0.06	N/A
99	-7.7606709360311195	0.06	0.06	N/A
100	-7.7606709360311195	1.39	0.06	N/A
101	-7.7606709360311195	0.23	0.06	N/A
102	-7.7606709360311195	0.46	0.06	N/A
103	-7.7606709360311195	0.11	0.06	N/A
104	-7.7606709360311195	0.03	0.06	N/A
105	-7.7606709360311195	0.13	0.06	N/A
106	-7.7606709360311195	0.14	0.06	N/A
107	-7.7606709360311195	0.01	0.06	N/A
108	-7.7606709360311195	0.1	0.06	N/A
109	-7.7606709360311195	0.0	0.06	N/A
110	-7.7606709360311195	0.0	0.06	N/A
111	-7.7606709360311195	0.42	0.06	N/A
112	-7.7606709360311195	0.75	0.06	N/A
113	-7.7606709360311195	0.51	0.06	N/A
114	-7.7606709360311195	0.09	0.05	N/A
115	-7.7606709360311195	0.15	0.05	N/A
116	-7.7606709360311195	0.18	0.05	N/A
117	-7.7606709360311195	0.23	0.05	N/A
118	-7.7606709360311195	0.17	0.05	N/A
119	-7.7606709360311195	0.24	0.05	N/A
