step	T	P	Q	Emptymeas
0	-1.66615913489416	0.0	0.55	N/A
1	-1.66615913489416	0.0	0.55	N/A
2	-1.66615913489416	0.0	0.55	N/A
3	-1.66615913489416	0.0	0.55	N/A
4	-1.66615913489416	0.0	0.55	N/A
5	-1.66615913489416	0.0	0.55	N/A
6	-1.66615913489416	0.0	0.55	N/A
7	-1.66615913489416	0.0	0.55	N/A
8	-1.66615913489416	0.0	0.55	N/A
9	-1.66615913489416	0.0	0.55	N/A
10	-1.66615913489416	0.0	0.55	N/A
11	-1.66615913489416	0.0	0.55	N/A
12	-1.66615913489416	0.0	0.55	N/A
13	-1.66615913489416	0.0	0.55	N/A
14	-1.66615913489416	0.0	0.55	N/A
15	-1.66615913489416	0.0	0.55	N/A
16	-1.66615913489416	0.0	0.55	N/A
17	-1.66615913489416	0.0	0.55	N/A
18	-1.66615913489416	0.0	0.55	N/A
19	-1.66615913489416	0.0	0.55	N/A
20	-1.66615913489416	0.0	0.55	N/A
21	-1.66615913489416	0.0	0.55	N/A
22	-1.66615913489416	0.0	0.55	N/A
23	-1.66615913489416	0.0	0.55	N/A
24	-0.69615915657535	0.0	0.55	N/A
25	-0.69615915657535	0.0	0.55	N/A
26	-0.69615915657535	0.0	0.55	N/A
27	-0.69615915657535	0.0	0.55	N/A
28	-0.69615915657535	0.0	0.55	N/A
29	-0.69615915657535	0.0	0.55	N/A
30	-0.69615915657535	0.0	0.55	N/A
31	-0.69615915657535	0.0	0.55	N/A
32	-0.69615915657535	0.0	0.55	N/A
33	-0.69615915657535	0.0	0.55	N/A
34	-0.69615915657535	0.0	0.55	N/A
35	-0.69615915657535	0.0	0.55	N/A
36	-0.69615915657535	0.0	0.55	N/A
37	-0.69615915657535	0.0	0.55	N/A
38	-0.69615915657535	0.0	0.55	N/A
39	-0.69615915657535	0.0	0.55	N/A
40	-0.69615915657535	0.0	0.55	N/A
41	-0.69615915657535	0.0	0.54	N/A
42	-0.69615915657535	0.0	0.54	N/A
43	-0.69615915657535	0.0	0.54	N/A
44	-0.69615915657535	0.0	0.53	N/A
45	-0.69615915657535	0.0	0.53	N/A
46	-0.69615915657535	0.0	0.52	N/A
47	-0.69615915657535	0.0	0.51	N/A
48	-5.606159046828299	0.0	0.5	N/A
49	-5.606159046828299	0.0	0.48	N/A
50	-5.606159046828299	0.0	0.45	N/A
51	-5.606159046828299	0.0	0.42	N/A
52	-5.606159046828299	0.0	0.39	N/A
53	-5.606159046828299	0.0	0.37	N/A
54	-5.606159046828299	0.0	0.35	N/A
55	-5.606159046828299	0.0	0.33	N/A
56	-5.606159046828299	0.0	0.32	N/A
57	-5.606159046828299	0.0	0.31	N/A
58	-5.606159046828299	0.0	0.3	N/A
59	-5.606159046828299	0.01	0.29	N/A
60	-5.606159046828299	0.66	0.28	N/A
61	-5.606159046828299	0.0	0.27	N/A
62	-5.606159046828299	0.0	0.26	N/A
63	-5.606159046828299	0.0	0.26	N/A
64	-5.606159046828299	0.0	0.25	N/A
65	-5.606159046828299	0.0	0.25	N/A
66	-5.606159046828299	0.0	0.24	N/A
67	-5.606159046828299	0.0	0.23	N/A
68	-5.606159046828299	0.0	0.23	N/A
69	-5.606159046828299	0.0	0.22	N/A
70	-5.606159046828299	0.0	0.22	N/A
71	-5.606159046828299	0.0	0.22	N/A
72	-6.99615901575938	0.0	0.21	N/A
73	-6.99615901575938	0.0	0.21	N/A
74	-6.99615901575938	0.0	0.2	N/A
75	-6.99615901575938	0.0	0.2	N/A
76	-6.99615901575938	0.0	0.19	N/A
77	-6.99615901575938	0.0	0.19	N/A
78	-6.99615901575938	0.0	0.19	N/A
79	-6.99615901575938	0.0	0.19	N/A
80	-6.99615901575938	0.0	0.18	N/A
81	-6.99615901575938	0.0	0.17	N/A
82	-6.99615901575938	0.0	0.17	N/A
83	-6.99615901575938	0.0	0.17	N/A
84	-6.99615901575938	0.0	0.17	N/A
85	-6.99615901575938	0.0	0.17	N/A
86	-6.99615901575938	0.0	0.16	N/A
87	-6.99615901575938	0.0	0.15	N/A
88	-6.99615901575938	0.0	0.15	N/A
89	-6.99615901575938	0.0	0.15	N/A
90	-6.99615901575938	0.0	0.15	N/A
91	-6.99615901575938	0.0	0.15	N/A
92	-6.99615901575938	0.0	0.15	N/A
93	-6.99615901575938	0.0	0.15	N/A
94	-6.99615901575938	0.0	0.15	N/A
95	-6.99615901575938	0.0	0.14	N/A
96	-6.08615903609946	0.0	0.14	N/A
97	-6.08615903609946	0.0	0.14	N/A
98	-6.08615903609946	0.0	0.14	N/A
99	-6.08615903609946	0.0	0.14	N/A
100	-6.08615903609946	0.0	0.13	N/A
101	-6.08615903609946	0.0	0.13	N/A
102	-6.08615903609946	0.0	0.13	N/A
103	-6.08615903609946	0.0	0.13	N/A
104	-6.08615903609946	0.0	0.13	N/A
105	-6.08615903609946	0.0	0.13	N/A
106	-6.08615903609946	0.0	0.12	N/A
107	-6.08615903609946	0.0	0.11	N/A
108	-6.08615903609946	0.0	0.12	N/A
109	-6.08615903609946	0.0	0.12	N/A
110	-6.08615903609946	0.0	0.12	N/A
111	-6.08615903609946	0.0	0.12	N/A
