step	T	P	Q	Emptymeas
0	-4.37568206769804	0.0	0.06	N/A
1	-4.37568206769804	0.0	0.06	N/A
2	-4.37568206769804	0.0	0.06	N/A
3	-4.37568206769804	0.0	0.06	N/A
4	-4.37568206769804	0.0	0.06	N/A
5	-4.37568206769804	0.0	0.06	N/A
6	-4.37568206769804	0.0	0.06	N/A
7	-4.37568206769804	0.0	0.06	N/A
8	-4.37568206769804	0.0	0.06	N/A
9	-4.37568206769804	0.0	0.06	N/A
10	-4.37568206769804	0.0	0.06	N/A
11	-4.37568206769804	0.0	0.06	N/A
12	-4.37568206769804	0.0	0.06	N/A
13	-4.37568206769804	0.08	0.06	N/A
14	-4.37568206769804	0.12	0.06	N/A
15	-4.37568206769804	0.09	0.05	N/A
16	-4.37568206769804	0.05	0.06	N/A
17	-4.37568206769804	0.08	0.05	N/A
18	-4.37568206769804	0.0	0.05	N/A
19	-4.37568206769804	0.0	0.05	N/A
20	-4.37568206769804	0.0	0.06	N/A
21	-4.37568206769804	0.0	0.05	N/A
22	-4.37568206769804	0.0	0.05	N/A
23	-4.37568206769804	0.0	0.05	N/A
24	-3.25345319451854	0.0	0.05	N/A
25	-3.25345319451854	0.54	0.05	N/A
26	-3.25345319451854	0.65	0.05	N/A
27	-3.25345319451854	0.67	0.05	N/A
28	-3.25345319451854	1.72	0.05	N/A
29	-3.25345319451854	1.91	0.05	N/A
30	-3.25345319451854	0.16	0.05	N/A
31	-3.25345319451854	0.0	0.05	N/A
32	-3.25345319451854	0.0	0.05	N/A
33	-3.25345319451854	0.0	0.05	N/A
34	-3.25345319451854	0.0	0.05	N/A
35	-3.25345319451854	0.0	0.05	N/A
36	-3.25345319451854	0.0	0.04	N/A
37	-3.25345319451854	0.0	0.04	N/A
38	-3.25345319451854	0.0	0.04	N/A
39	-3.25345319451854	0.0	0.04	N/A
40	-3.25345319451854	0.0	0.04	N/A
41	-3.25345319451854	0.0	0.04	N/A
42	-3.25345319451854	0.0	0.04	N/A
43	-3.25345319451854	0.0	0.04	N/A
44	-3.25345319451854	0.0	0.04	N/A
45	-3.25345319451854	0.0	0.05	N/A
46	-3.25345319451854	0.0	0.05	N/A
47	-3.25345319451854	0.0	0.05	N/A
48	-5.21661076013914	0.0	0.05	N/A
49	-5.21661076013914	0.0	0.05	N/A
50	-5.21661076013914	0.0	0.05	N/A
51	-5.21661076013914	0.0	0.04	N/A
52	-5.21661076013914	0.0	0.04	N/A
53	-5.21661076013914	0.0	0.04	N/A
54	-5.21661076013914	0.0	0.04	N/A
55	-5.21661076013914	0.0	0.04	N/A
56	-5.21661076013914	0.0	0.04	N/A
57	-5.21661076013914	0.0	0.04	N/A
58	-5.21661076013914	0.0	0.04	N/A
59	-5.21661076013914	0.0	0.04	N/A
60	-5.21661076013914	0.0	0.04	N/A
61	-5.21661076013914	0.0	0.04	N/A
62	-5.21661076013914	0.0	0.04	N/A
63	-5.21661076013914	0.0	0.04	N/A
64	-5.21661076013914	0.0	0.04	N/A
65	-5.21661076013914	0.0	0.04	N/A
66	-5.21661076013914	0.0	0.04	N/A
67	-5.21661076013914	0.0	0.04	N/A
68	-5.21661076013914	0.0	0.04	N/A
69	-5.21661076013914	0.0	0.04	N/A
70	-5.21661076013914	0.19	0.04	N/A
71	-5.21661076013914	0.0	0.04	N/A
72	-5.63500083022408	0.0	0.04	N/A
73	-5.63500083022408	0.0	0.04	N/A
74	-5.63500083022408	0.0	0.04	N/A
